	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	estado
18	-0.60457	0.57067	-0.04638	0.10329	-0.55305	-0.27394	-0.20437	-0.17329	-0.34087	-0.09710	-0.07095	0.55511	-0.33764	0.16634	-0.46073	0.29875	-0.35759	0.25780	-0.80786	0.00920	0.65789	-1.34609	0.25728	-0.54353	-0.01973	0.61845	0.54759	0.49037	0.30290	0.22715	0.21306	0.24116	v/at
19	-0.09886	-0.35804	-0.45384	-0.68059	0.04499	-0.47816	-0.49822	-0.53792	-0.32479	-0.72162	-0.51137	-0.00276	-0.68097	0.11656	-0.58473	-0.38819	-0.22588	-0.67075	0.16067	-0.56105	-0.49605	-1.59616	-0.68454	0.37643	-0.52406	-0.65928	0.02469	-0.37914	-0.50607	-0.52307	-0.52763	-0.52026	ac
20	-0.37140	-0.01750	-0.35505	-0.59209	-0.35857	-0.21609	-0.24637	-0.26332	-0.27053	-0.64342	-0.52326	0.47497	-0.60020	0.07854	-0.55390	-0.19553	-0.14078	-0.55442	0.06928	-0.50219	-0.12268	-1.29304	-0.57467	0.28335	-0.47257	-0.30382	0.36785	0.19048	-0.03126	-0.10553	-0.13225	-0.12152	v/at
21	-0.74408	0.92332	0.55351	-0.15507	-0.99628	0.09385	0.07991	0.02486	0.79589	1.70144	-0.08815	0.92456	-0.16304	-0.00178	-0.40535	0.57671	-0.03392	-0.00706	0.03555	-0.31101	0.74372	-0.85279	-0.01918	0.22646	-0.29663	0.71442	0.93868	1.31090	1.25752	1.09509	1.04232	1.05289	v/at
22	-0.78789	1.12331	0.88705	0.00773	-1.08194	0.02180	0.01233	-0.07543	1.36362	1.19101	0.07951	0.86868	-0.02913	-0.03958	-0.34052	0.72864	-0.10808	0.21406	-0.05270	-0.18428	0.95884	-0.93802	0.16520	0.10050	-0.19406	0.90986	1.00957	1.52239	1.54217	1.38937	1.32365	1.30771	v/at
23	-0.88480	1.94277	2.85785	2.99355	-1.07557	-0.04808	-0.08865	-0.17474	2.20233	1.58828	2.90178	0.96762	3.72149	-3.84730	4.16661	1.87320	-0.49972	2.73024	-1.53345	2.60904	1.93144	-1.43136	2.55852	-1.94428	2.33185	2.06932	0.98592	1.62022	1.99927	2.19227	2.28988	2.30219	v/at
24	-0.67451	0.65061	0.17460	-0.33560	-0.85289	0.14292	0.13714	0.08492	0.19339	0.92186	-0.14586	0.93241	-0.33186	0.05366	-0.47870	0.35421	0.04262	-0.24111	0.10302	-0.42727	0.48919	-0.77205	-0.27301	0.31459	-0.41600	0.38541	0.79026	1.03072	0.87196	0.71087	0.66394	0.68020	v/at
25	-0.86024	1.67923	2.24428	0.90819	-1.21509	-0.47339	-0.51874	-0.54706	2.48830	2.59758	2.20292	0.62917	1.43837	-0.75663	0.82146	1.60939	-0.77225	1.10794	-0.08624	0.63294	1.49901	-1.42928	1.20401	-0.24312	0.64348	1.63863	1.13502	1.85010	2.22772	2.26950	2.18848	2.11118	v/at
26	-0.23968	-0.26163	-0.56753	-0.62681	-0.01197	-0.84388	-0.84693	-0.87537	-0.68918	-0.66766	-0.67163	-0.43954	-0.61741	0.03748	-0.59320	-0.12421	-0.61366	-0.65077	0.17445	-0.57232	-0.34225	-1.97433	-0.68246	0.38615	-0.54352	-0.56221	0.07043	-0.30303	-0.46850	-0.49367	-0.46795	-0.42107	ac
27	-0.82228	1.31142	1.09438	0.38083	-1.09617	-0.09440	-0.08308	-0.08154	2.83144	1.65289	0.30383	0.85255	0.48428	0.04826	-0.05853	1.12891	-0.29385	0.54906	-0.07891	0.03907	1.21256	-1.20800	0.49264	-0.05978	0.00541	1.19650	1.02380	1.52482	1.58975	1.46116	1.38261	1.37675	v/at
28	-0.84748	1.60977	1.42834	2.99520	-0.81590	0.32944	0.30571	0.24878	1.43034	0.43895	1.26662	1.20670	2.78779	-3.61200	3.02485	1.74528	-0.04028	2.69514	-2.85870	2.73040	1.82265	-1.34043	1.87410	-1.87347	1.47108	1.76363	0.76579	1.09567	1.23972	1.34664	1.41665	1.47119	v/at
29	-0.63956	0.74349	0.07366	0.58482	-0.36371	-0.53615	-0.44868	-0.39644	-0.01216	-0.49583	-0.20606	0.32775	0.03410	0.42953	-0.16665	0.56646	-0.66645	0.73583	-0.73259	0.33721	0.98926	-1.66777	0.40613	-0.35815	-0.03340	0.82209	0.35719	0.29567	0.23683	0.25598	0.28075	0.28168	ac
30	-0.65628	0.71431	0.18260	0.06401	-0.56225	0.46367	0.45147	0.43328	-0.07681	0.54134	0.30059	1.84145	0.15158	-0.95376	0.00495	0.62873	0.09791	0.06166	-0.31174	-0.16095	0.75745	-1.00904	-0.14344	0.01821	-0.27300	0.48857	0.55166	0.62055	0.54480	0.48754	0.48322	0.48843	v/at
31	-0.89590	1.98430	2.95312	2.34138	-1.26123	-0.28359	-0.34931	-0.43872	1.71535	2.79121	3.35438	0.57046	2.60756	-1.41595	2.03368	1.97145	-0.59085	2.45369	-0.71826	2.07048	1.88652	-1.75628	1.96149	-0.75215	1.30153	1.92443	1.14940	1.98121	2.48184	2.64060	2.63284	2.58273	v/at
32	-0.89112	2.03372	3.41194	3.56226	-1.10238	0.43184	0.36664	0.28416	1.60361	3.39368	4.22492	1.27856	3.87373	-4.40165	4.49266	1.53904	-0.07760	3.44411	-2.46883	3.76718	1.99827	-1.07914	2.95631	-2.57671	2.92894	2.12948	1.00781	1.69583	2.16539	2.40586	2.46518	2.45810	v/at
33	-0.88247	1.90595	2.72603	2.61162	-1.09677	0.19152	0.13484	0.04806	1.50772	2.60034	3.09856	1.17914	2.71597	-2.63392	2.44526	1.68604	-0.23305	2.63821	-1.67218	2.55953	1.90448	-1.34430	2.13804	-1.54654	1.78054	1.95729	1.00978	1.63870	2.00865	2.17656	2.22853	2.22153	v/at
34	0.32441	-0.64630	-0.46677	-0.62239	0.25324	-0.28923	-0.30576	-0.36551	-0.17601	-0.61812	-0.49412	0.19426	-0.56996	0.43302	-0.42063	-0.59626	-0.09893	-0.64063	0.32084	-0.48852	-0.86406	-1.24211	-0.67074	0.42445	-0.48525	-0.92954	-0.17476	-0.60427	-0.67207	-0.67220	-0.67259	-0.67345	ac
35	-0.87658	1.79825	2.65754	1.10737	-1.28500	-0.04959	-0.10739	-0.17700	4.07370	3.48882	1.72785	0.89887	1.67156	-0.96392	1.08757	1.61363	-0.31018	1.28775	-0.75894	0.85392	1.54670	-1.14268	1.37826	-0.91604	0.95046	1.66903	1.19093	1.97586	2.38395	2.45824	2.37877	2.30293	v/at
36	-0.89110	1.91377	2.43786	2.69545	-1.18614	0.15871	0.12304	0.02325	1.32369	1.81544	2.91603	1.15785	2.25706	-1.42005	1.51532	1.60240	-0.28588	2.77547	-1.08429	2.46061	1.95331	-1.28081	2.13227	-1.06992	1.43555	1.94789	1.08942	1.76569	2.09875	2.22112	2.25070	2.22358	v/at
37	1.66201	-1.53096	-0.85998	-0.84043	0.61771	-0.69272	-0.67631	-0.59068	-0.78923	-0.78111	-0.78007	-0.32705	-0.91909	0.13582	-0.62471	-1.79289	-0.45388	-0.86205	0.16333	-0.60307	-1.66604	-1.63061	-0.87794	0.37807	-0.57104	-1.69227	-0.48194	-1.13417	-1.21263	-1.20112	-1.22453	-1.24405	ac
38	0.71475	-0.97788	-0.55830	-0.78304	0.33849	-0.49457	-0.50201	-0.52835	-0.32151	-0.59756	-0.60959	0.15350	-0.74164	0.27648	-0.51269	-1.02455	-0.36848	-0.77772	0.18826	-0.56355	-1.29435	-1.42015	-0.72974	0.41157	-0.49975	-1.17691	-0.24483	-0.74535	-0.82612	-0.84873	-0.87733	-0.89942	ac
39	-0.87805	1.84845	2.37562	2.60845	-1.09352	0.44369	0.43003	0.38252	3.21854	2.03187	2.63463	1.46698	2.49354	-2.25083	2.10868	1.20316	-0.04804	2.61332	-0.73450	2.46719	1.87584	-0.95734	2.06691	-0.95141	1.60361	1.95566	1.01733	1.61626	1.92857	2.03014	2.05148	2.05283	v/at
40	0.09759	-0.47900	-0.58440	-0.47360	0.31295	2.03366	2.04355	2.03161	-0.19761	-0.56857	-0.47439	3.15709	-0.61736	-0.47607	-0.50124	-1.58895	1.46228	-0.41634	-0.29684	-0.31615	-0.33284	-0.04505	-0.54642	0.00853	-0.38646	-0.59608	-0.25511	-0.70496	-0.79613	-0.80588	-0.82314	-0.84197	hid
41	-0.75724	1.05388	0.80185	0.06168	-0.89916	-0.21364	-0.24738	-0.28570	2.04496	1.62808	0.13999	0.75615	0.32904	0.04492	-0.10240	0.96845	-0.37124	0.14238	-0.11406	-0.18301	0.86288	-1.12398	0.16860	0.01250	-0.14169	0.87091	0.84478	1.22898	1.27391	1.18075	1.10084	1.05110	v/at
42	-0.37100	0.01426	-0.36293	-0.55216	-0.24462	-0.87828	-0.83907	-0.80568	-0.24673	-0.57929	-0.37254	-0.16433	-0.55926	0.10714	-0.57130	-0.10862	-0.81804	-0.51835	0.02529	-0.53022	-0.07853	-2.00887	-0.51399	0.28158	-0.49767	-0.13746	0.27560	0.00594	-0.16105	-0.21515	-0.23683	-0.23815	ac
43	-0.55577	0.42847	-0.11344	-0.19508	-0.33824	-0.61540	-0.54052	-0.55895	-0.16065	-0.51740	-0.10842	-0.00803	-0.20711	0.33386	-0.40397	0.40347	-0.55599	-0.12976	0.11187	-0.35805	0.56911	-1.68386	-0.27966	0.34622	-0.42594	0.35402	0.33914	0.19528	0.10388	0.06184	0.09237	0.10790	ac
44	2.50823	-2.01912	-0.89826	-0.96117	0.76401	-0.41547	-0.41276	-0.42523	-0.67399	-0.69251	-0.71562	0.12259	-1.11097	-0.04474	-0.68699	-2.36543	-0.29173	-0.94640	0.11556	-0.61629	-2.42510	-1.10664	-0.92618	0.36828	-0.57529	-2.19373	-0.65346	-1.27086	-1.28378	-1.28443	-1.29781	-1.32353	ac
45	-0.82465	1.44724	0.98745	2.53107	-0.71767	-0.00927	-0.02302	-0.07848	1.04905	0.09751	0.93109	0.92370	2.13641	-2.42361	1.76661	1.70684	-0.31790	2.28776	-2.23095	1.91160	1.70991	-1.63641	1.49201	-1.30528	0.90420	1.60524	0.66747	0.91813	0.99665	1.06555	1.13069	1.18594	v/at
46	-0.75244	0.94316	0.35831	0.34553	-0.84345	0.74304	0.75402	0.76813	0.54320	0.16465	0.11062	1.67275	0.43589	-0.95924	0.32137	0.94267	0.47628	0.31339	-0.47393	0.02650	0.94912	-0.81186	0.20581	-0.44692	0.07572	0.84671	0.79759	1.02662	0.88250	0.80799	0.82181	0.82048	v/at
47	0.57981	-0.80310	-0.58047	-0.70669	0.36596	-1.17858	-1.20465	-1.22961	-0.72070	-0.67659	-0.70428	-0.72646	-0.77700	0.14561	-0.55762	-1.05806	-0.97040	-0.68463	0.17185	-0.52958	-0.92711	-2.35462	-0.70794	0.38461	-0.51346	-0.89594	-0.30549	-0.74348	-0.78599	-0.80478	-0.82489	-0.82205	ac
48	-0.23249	-0.19019	-0.44080	-0.60978	-0.07587	-0.68042	-0.78701	-0.93775	-0.66608	-0.53961	-0.25452	-0.15510	-0.64003	0.12266	-0.58898	-0.30982	-0.50354	-0.59225	0.16893	-0.54909	-0.26902	-1.75957	-0.59936	0.37267	-0.51091	-0.39107	0.07615	-0.23516	-0.40044	-0.42145	-0.39017	-0.36569	ac
49	0.83630	-1.07020	-0.80021	-0.64499	0.46702	-0.59030	-0.59608	-0.67055	-0.41411	-0.79016	-0.65832	-0.01936	-0.63589	0.34634	-0.53087	-0.95162	-0.40347	-0.71546	0.30873	-0.55346	-1.14823	-1.84634	-0.79661	0.41277	-0.55955	-1.17244	-0.38121	-0.91730	-0.99276	-1.00147	-1.00815	-1.01939	ac
50	-0.88692	1.93351	2.89181	2.14167	-1.19132	0.06581	0.00252	-0.08176	1.87249	3.48729	3.50246	1.14001	2.25689	-1.78670	1.66299	1.64101	-0.37099	2.29230	-1.03213	1.97630	1.84765	-1.29163	2.07016	-1.06250	1.57165	1.96075	1.09266	1.84325	2.28811	2.42664	2.42227	2.37847	v/at
51	-0.85671	1.61563	1.34104	2.12444	-0.95221	-0.41417	-0.43627	-0.50843	0.28883	0.57628	1.52745	0.61333	1.88784	-1.48809	1.21839	1.75232	-0.74176	2.04431	-0.97833	1.46965	1.76091	-1.84707	1.44383	-0.64232	0.69280	1.68415	0.89086	1.33607	1.51329	1.55258	1.57019	1.57746	v/at
52	1.74924	-1.64273	-0.82481	-0.93507	0.56647	-0.57819	-0.59828	-0.60389	-0.62956	-0.73101	-0.73033	0.02059	-1.04500	-0.01484	-0.67492	-1.88862	-0.44731	-0.91176	0.10032	-0.61190	-1.98581	-1.41556	-0.88279	0.34834	-0.56870	-1.79364	-0.47676	-1.05060	-1.12586	-1.13857	-1.16120	-1.19249	ac
53	-0.83065	1.40432	1.50693	0.29829	-1.22866	-0.30397	-0.34145	-0.39828	0.99301	3.39244	0.75554	0.73036	0.41635	-0.21867	-0.03232	1.09500	-0.55493	0.53354	-0.20245	0.09201	1.17388	-1.13587	0.60487	-0.17732	0.12391	1.24679	1.14745	1.81189	1.98665	1.91496	1.81595	1.76580	v/at
54	0.79313	-1.14720	-0.75613	-0.87547	0.26681	-0.21718	-0.14764	-0.19837	-0.46039	-0.71297	-0.76108	0.37875	-0.98043	-0.02798	-0.66330	-1.47391	-0.14769	-0.86520	0.13038	-0.60716	-1.44714	-1.02107	-0.84331	0.38112	-0.56633	-1.40527	-0.15765	-0.72302	-0.86497	-0.87812	-0.92207	-0.93836	ac
55	1.38380	-1.54182	-0.82991	-0.93152	0.43018	0.19152	0.15944	0.15411	-0.45823	-0.80663	-0.72645	0.76395	-1.07344	-0.02933	-0.68151	-2.04129	0.25281	-0.90870	0.11754	-0.61222	-1.86570	-0.68359	-0.89304	0.37620	-0.57260	-1.80078	-0.31244	-0.92470	-1.04843	-1.05519	-1.07053	-1.10230	ac
56	0.29002	-0.31473	0.02106	-0.45895	0.09687	-0.72923	-0.70687	-0.67906	-0.07176	0.23343	0.10382	-0.19251	-0.50069	0.09074	-0.36134	-0.62891	-0.61086	-0.34832	-0.40372	-0.27640	-0.52778	-1.70222	-0.36029	-0.13710	-0.27156	-0.46530	-0.06899	-0.30268	-0.25799	-0.23947	-0.24080	-0.25204	ac
57	-0.86725	1.70716	1.67379	2.12948	-1.02052	-0.25765	-0.29709	-0.37334	0.79363	0.87258	2.09710	0.84289	1.88174	-1.21146	1.13668	1.73239	-0.63635	2.14688	-0.60925	1.65212	1.81233	-1.70594	1.51235	-0.50248	0.77197	1.74488	0.93911	1.48603	1.72327	1.79198	1.81953	1.82823	v/at
58	-0.82091	1.44234	1.26324	1.26106	-0.86909	-0.02604	-0.01373	0.01569	0.98303	0.92620	1.36018	1.30287	1.51545	-1.55206	1.04728	1.41604	-0.46529	1.16315	-0.19140	0.73059	1.48315	-1.28811	0.93928	-0.19240	0.47556	1.48250	0.79784	1.19171	1.32669	1.35582	1.33158	1.32291	v/at
59	-0.40076	0.27966	-0.37780	2.72644	-0.01821	0.81332	0.85244	0.91556	-0.66480	-0.61578	-0.67451	2.43722	0.19347	-0.90127	-0.11699	0.20967	0.10325	3.05043	0.38593	1.66398	0.73713	-1.23999	1.60048	0.11804	0.32465	0.92215	0.02254	-0.29203	-0.42102	-0.43212	-0.40954	-0.40027	v/at
60	-0.56278	0.43452	-0.14975	-0.12978	-0.43532	-0.30205	-0.29457	-0.24184	0.42206	-0.18250	-0.43651	0.58687	-0.08459	0.21793	-0.34434	0.47113	-0.40724	-0.15108	-0.18863	-0.32165	0.48500	-1.24675	-0.13363	-0.04347	-0.25864	0.39581	0.46645	0.34053	0.15639	0.07107	0.05762	0.06606	v/at
61	-0.18249	-0.09822	-0.41437	-0.39299	-0.00249	-0.04988	0.00150	0.12351	-0.07845	-0.46907	-0.47103	0.55391	-0.29739	0.40506	-0.38317	-0.00138	-0.03193	-0.45746	0.19776	-0.46437	-0.07521	-0.99029	-0.52120	0.34066	-0.48062	-0.21148	0.03098	-0.27613	-0.39376	-0.43026	-0.46342	-0.49562	ac
62	-0.85859	1.60022	1.46998	1.27628	-1.13452	-0.39061	-0.40825	-0.46835	2.78650	1.58086	1.41766	0.98767	1.42089	-0.54766	0.67642	1.52793	-0.82750	1.25349	0.41368	0.73928	1.55966	-1.50833	1.06613	0.18910	0.42479	1.58545	1.05267	1.63870	1.81628	1.77387	1.73042	1.70088	v/at
63	0.60780	-0.84216	-0.69607	-0.53644	0.20678	1.76509	1.76971	1.76240	-0.20503	-0.68071	-0.58159	2.51568	-0.91038	-0.17752	-0.64054	-1.35985	1.49222	-0.47331	-0.37629	-0.43984	-0.75386	-0.59401	-0.67013	0.16198	-0.50202	-0.87725	-0.12234	-0.64043	-0.80800	-0.86170	-0.90571	-0.93346	hid
64	0.25223	-0.53900	-0.44673	-0.45856	0.19299	2.74562	2.68375	2.61564	0.26846	-0.34597	-0.11484	3.07623	-0.70857	-0.43913	-0.53533	-1.40586	2.30034	-0.40784	-0.51223	-0.33945	-0.46391	0.07085	-0.57595	-0.03263	-0.38496	-0.74616	-0.15844	-0.57253	-0.64091	-0.64373	-0.67017	-0.70627	hid
65	-0.31615	-0.10388	-0.39619	-0.57265	-0.23461	-0.45587	-0.53213	-0.64187	-0.30816	-0.66786	-0.44593	0.23560	-0.44233	0.23451	-0.53245	-0.00659	-0.37082	-0.59480	0.18329	-0.56194	-0.28161	-1.32401	-0.59307	0.40342	-0.52337	-0.36335	0.29458	-0.05083	-0.25791	-0.32151	-0.33777	-0.33625	ac
66	-0.73132	0.86849	0.24269	0.19757	-0.76103	0.60643	0.59038	0.55797	0.34090	0.77237	0.25886	1.82509	-0.10383	-0.37671	-0.34701	0.56377	0.28046	0.32576	0.09410	-0.10631	0.98462	-0.97454	-0.06065	0.14890	-0.29635	0.65504	0.75224	0.89658	0.79102	0.67877	0.64725	0.66023	v/at
67	-0.79509	1.16109	0.71707	0.33467	-1.05477	-0.03883	0.00197	0.17007	0.38986	1.04627	0.32500	1.07728	0.30942	-0.06078	-0.09458	0.91890	-0.30187	0.46336	0.35341	0.01616	1.14160	-1.09040	0.52507	0.30933	0.03590	1.23010	1.00697	1.34366	1.26606	1.13116	1.05053	1.04460	v/at
68	-0.72740	0.92395	0.26654	0.54679	-0.60842	-1.11505	-1.07341	-0.86371	0.05600	-0.35337	-0.28524	1.04164	0.26409	-0.28156	-0.18736	0.91494	-1.78175	0.59953	1.57583	0.44827	1.02349	-2.30906	0.78476	1.20916	0.29821	1.31934	0.60656	0.58384	0.37380	0.27716	0.22762	0.21328	v/at
69	0.57421	-1.07752	-0.80818	-0.72413	0.34309	0.60473	0.61937	0.60341	-0.53381	-0.59764	-0.72535	0.43291	-0.59524	0.21578	-0.59323	-0.89462	0.79112	-0.81456	0.14830	-0.60599	-1.23156	0.28624	-0.80387	0.37879	-0.56533	-1.11228	-0.25420	-0.83738	-0.97410	-1.00280	-1.03593	-1.05981	ac
70	0.81267	-1.16313	-0.79102	-0.77520	0.39182	0.84754	0.85591	0.86058	-0.40726	-0.82677	-0.80885	0.70682	-0.64083	0.24053	-0.56759	-0.90504	0.92041	-0.84156	0.14890	-0.60620	-1.41982	0.84844	-0.81789	0.37785	-0.56295	-1.24043	-0.31709	-0.87869	-0.98789	-0.99682	-1.01298	-1.03908	ac
71	0.03951	-0.50533	-0.57887	-0.69927	-0.01703	0.51415	0.54145	0.59642	-0.06413	-0.48132	-0.68126	0.48592	-0.52852	0.22134	-0.53998	-0.20366	0.62083	-0.68828	0.10481	-0.56122	-0.63152	0.40147	-0.59165	0.28280	-0.49833	-0.41517	0.05944	-0.33268	-0.52955	-0.57530	-0.58764	-0.59810	ac
72	-0.12235	-0.08793	-0.36262	-0.30310	0.00230	1.47668	1.54066	1.56217	-0.59193	-0.57012	-0.68606	1.36306	-0.26219	0.19306	-0.34752	-0.23655	1.30446	-0.23952	0.11644	-0.36936	-0.10667	1.41604	-0.31637	0.08999	-0.42401	-0.26287	0.01334	-0.24360	-0.32681	-0.35496	-0.39200	-0.42815	ac
73	-0.48960	0.34610	0.04729	-0.20168	-0.21118	1.99034	1.91839	1.86119	0.64792	0.10455	0.01323	1.79605	-0.18703	0.29492	-0.45214	-0.23867	1.70665	-0.13384	0.51184	-0.37069	-0.02580	1.70202	-0.44492	0.29414	-0.49748	-0.68144	-0.08865	0.62906	0.60244	0.57370	0.56714	0.54887	v/at
74	0.90878	-1.31809	-0.78481	-0.91776	0.31412	1.41945	1.40893	1.38543	-0.26262	-0.68933	-0.76587	1.06848	-0.98132	0.02822	-0.65898	-1.53206	1.40690	-0.89056	0.10255	-0.60944	-1.65685	1.56428	-0.86358	0.35622	-0.56801	-1.56859	-0.19693	-0.78716	-0.94018	-0.97575	-1.01453	-1.04859	ac
75	-0.83968	1.47297	1.74083	0.36571	-1.31538	0.84024	0.78544	0.72667	1.28045	3.11761	1.58560	1.26641	0.30121	-0.39604	-0.06786	0.93792	0.53878	0.72781	-0.48801	0.31056	1.21634	0.67112	0.79982	-0.58562	0.26225	1.14206	1.19260	1.97689	2.22726	2.19117	2.10711	2.02235	v/at
