	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	clase
18	0.66716	0.38052	0.35310	-0.29968	-0.34349	0.02476	0.55222	0.29446	-0.24387	0.03100	0.55511	-0.33764	0.16634	-0.46073	0.29875	-0.35759	0.25780	-0.80786	0.00920	0.65789	-1.34609	0.25728	-0.54353	-0.01973	0.61845	sn
19	0.36474	0.53847	-0.18556	-0.40617	-0.38357	-0.33050	-0.60353	0.59522	0.56333	0.32532	-0.00276	-0.68097	0.11656	-0.58473	-0.38819	-0.22588	-0.67075	0.16067	-0.56105	-0.49605	-1.59616	-0.68454	0.37643	-0.52406	-0.65928	sn
20	0.12614	0.30399	0.57296	-0.09696	-0.27589	-0.00397	0.54610	0.06787	-0.09118	0.03638	0.47497	-0.60020	0.07854	-0.55390	-0.19553	-0.14078	-0.55442	0.06928	-0.50219	-0.12268	-1.29304	-0.57467	0.28335	-0.47257	-0.30382	sn
21	0.04194	0.25071	1.61174	0.32225	-0.22274	-0.02556	0.71484	-0.23007	-0.62101	-0.12467	0.92456	-0.16304	-0.00178	-0.40535	0.57671	-0.03392	-0.00706	0.03555	-0.31101	0.74372	-0.85279	-0.01918	0.22646	-0.29663	0.71442	sn
22	-0.12465	0.07330	1.91693	0.82365	-0.16804	0.05750	0.45124	-0.46417	-0.81056	-0.24983	0.86868	-0.02913	-0.03958	-0.34052	0.72864	-0.10808	0.21406	-0.05270	-0.18428	0.95884	-0.93802	0.16520	0.10050	-0.19406	0.90986	sn
23	0.35168	0.08657	1.24717	0.70995	-0.21982	0.00520	0.07618	-0.24221	-0.28964	-0.30115	0.96762	3.72149	-3.84730	4.16661	1.87320	-0.49972	2.73024	-1.53345	2.60904	1.93144	-1.43136	2.55852	-1.94428	2.33185	2.06932	cn
24	0.11596	0.27196	1.42230	0.26792	-0.27596	-0.07782	0.50851	-0.02498	-0.54010	-0.04956	0.93241	-0.33186	0.05366	-0.47870	0.35421	0.04262	-0.24111	0.10302	-0.42727	0.48919	-0.77205	-0.27301	0.31459	-0.41600	0.38541	sn
25	-0.47002	-0.42341	2.55423	1.62775	-0.05862	0.06707	0.06081	-0.69801	-0.79621	-0.48481	0.62917	1.43837	-0.75663	0.82146	1.60939	-0.77225	1.10794	-0.08624	0.63294	1.49901	-1.42928	1.20401	-0.24312	0.64348	1.63863	sn
26	0.55238	0.61147	-0.23057	-0.40964	-0.43586	-0.37733	-0.60596	0.71757	0.41154	0.36152	-0.43954	-0.61741	0.03748	-0.59320	-0.12421	-0.61366	-0.65077	0.17445	-0.57232	-0.34225	-1.97433	-0.68246	0.38615	-0.54352	-0.56221	sn
27	0.01446	0.04430	1.33480	0.73143	-0.06107	0.04162	-0.37632	-0.31582	-0.68208	-0.18694	0.85255	0.48428	0.04826	-0.05853	1.12891	-0.29385	0.54906	-0.07891	0.03907	1.21256	-1.20800	0.49264	-0.05978	0.00541	1.19650	cn
28	0.45681	0.20299	0.84336	0.47552	-0.33970	-0.21600	-0.57612	0.01330	0.12853	-0.02129	1.20670	2.78779	-3.61200	3.02485	1.74528	-0.04028	2.69514	-2.85870	2.73040	1.82265	-1.34043	1.87410	-1.87347	1.47108	1.76363	cn
29	0.80683	0.18867	0.46906	-0.38808	-0.48468	-0.26063	0.40501	0.21641	0.15318	0.30078	0.32775	0.03410	0.42953	-0.16665	0.56646	-0.66645	0.73583	-0.73259	0.33721	0.98926	-1.66777	0.40613	-0.35815	-0.03340	0.82209	sn
30	0.02785	0.26776	0.99843	0.36502	-0.27058	-0.24992	-0.10974	0.02642	-0.18309	0.07939	1.84145	0.15158	-0.95376	0.00495	0.62873	0.09791	0.06166	-0.31174	-0.16095	0.75745	-1.00904	-0.14344	0.01821	-0.27300	0.48857	cn
31	-0.39513	-0.37422	2.00464	1.46204	0.06713	0.29564	-0.00476	-0.86749	-0.86122	-0.54629	0.57046	2.60756	-1.41595	2.03368	1.97145	-0.59085	2.45369	-0.71826	2.07048	1.88652	-1.75628	1.96149	-0.75215	1.30153	1.92443	sn
32	0.14446	-0.00433	1.30376	0.94092	-0.16775	-0.01539	-0.05442	-0.45329	-0.35745	-0.27456	1.27856	3.87373	-4.40165	4.49266	1.53904	-0.07760	3.44411	-2.46883	3.76718	1.99827	-1.07914	2.95631	-2.57671	2.92894	2.12948	cn
33	0.13928	-0.00511	0.96321	0.95249	-0.06974	0.03785	-0.45519	-0.39679	-0.41191	-0.28519	1.17914	2.71597	-2.63392	2.44526	1.68604	-0.23305	2.63821	-1.67218	2.55953	1.90448	-1.34430	2.13804	-1.54654	1.78054	1.95729	cn
34	0.51252	0.57805	-0.63132	-0.81094	-0.55726	-0.67076	-0.70314	1.06711	0.71956	0.77200	0.19426	-0.56996	0.43302	-0.42063	-0.59626	-0.09893	-0.64063	0.32084	-0.48852	-0.86406	-1.24211	-0.67074	0.42445	-0.48525	-0.92954	sn
35	-0.40675	-0.39779	2.17564	1.61777	0.09871	0.15890	-0.24236	-0.70635	-0.91821	-0.57175	0.89887	1.67156	-0.96392	1.08757	1.61363	-0.31018	1.28775	-0.75894	0.85392	1.54670	-1.14268	1.37826	-0.91604	0.95046	1.66903	cn
36	0.07593	-0.22722	1.53245	1.16986	-0.09141	0.19308	0.10139	-0.60788	-0.68449	-0.42030	1.15785	2.25706	-1.42005	1.51532	1.60240	-0.28588	2.77547	-1.08429	2.46061	1.95331	-1.28081	2.13227	-1.06992	1.43555	1.94789	cn
37	0.74474	0.98043	-0.94852	-1.34926	-0.93055	-1.32827	-1.31214	1.32030	1.47508	1.46867	-0.32705	-0.91909	0.13582	-0.62471	-1.79289	-0.45388	-0.86205	0.16333	-0.60307	-1.66604	-1.63061	-0.87794	0.37807	-0.57104	-1.69227	cn
38	0.67881	0.67185	-0.58827	-1.08316	-0.70471	-0.87106	-0.84761	1.17997	0.88631	1.02871	0.15350	-0.74164	0.27648	-0.51269	-1.02455	-0.36848	-0.77772	0.18826	-0.56355	-1.29435	-1.42015	-0.72974	0.41157	-0.49975	-1.17691	sn
39	0.19710	0.02150	1.20970	0.78101	-0.13684	0.08607	0.12529	-0.47629	-0.54675	-0.26462	1.46698	2.49354	-2.25083	2.10868	1.20316	-0.04804	2.61332	-0.73450	2.46719	1.87584	-0.95734	2.06691	-0.95141	1.60361	1.95566	sn
40	0.82148	0.80116	-0.62956	-1.18132	-0.81085	-1.04078	-1.08780	0.99239	1.24437	1.18363	3.15709	-0.61736	-0.47607	-0.50124	-1.58895	1.46228	-0.41634	-0.29684	-0.31615	-0.33284	-0.04505	-0.54642	0.00853	-0.38646	-0.59608	sn
41	-0.10207	-0.07970	1.66714	0.81954	-0.16871	-0.21520	-0.29781	-0.28306	-0.41672	-0.05276	0.75615	0.32904	0.04492	-0.10240	0.96845	-0.37124	0.14238	-0.11406	-0.18301	0.86288	-1.12398	0.16860	0.01250	-0.14169	0.87091	cn
42	0.81866	0.57186	0.06149	-0.42391	-0.57655	-0.34803	-0.23550	0.44620	0.42379	0.38385	-0.16433	-0.55926	0.10714	-0.57130	-0.10862	-0.81804	-0.51835	0.02529	-0.53022	-0.07853	-2.00887	-0.51399	0.28158	-0.49767	-0.13746	sn
43	0.64204	0.41577	-0.05532	-0.28989	-0.29872	-0.00386	-0.26073	-0.06234	0.18277	0.14650	-0.00803	-0.20711	0.33386	-0.40397	0.40347	-0.55599	-0.12976	0.11187	-0.35805	0.56911	-1.68386	-0.27966	0.34622	-0.42594	0.35402	sn
44	1.06923	1.04498	-1.21941	-1.62959	-1.00568	-1.46603	-1.42146	1.81717	1.50005	1.57777	0.12259	-1.11097	-0.04474	-0.68699	-2.36543	-0.29173	-0.94640	0.11556	-0.61629	-2.42510	-1.10664	-0.92618	0.36828	-0.57529	-2.19373	sn
45	0.46500	0.05517	0.73076	0.43101	-0.32696	-0.14338	-0.52688	-0.05813	0.07772	0.02921	0.92370	2.13641	-2.42361	1.76661	1.70684	-0.31790	2.28776	-2.23095	1.91160	1.70991	-1.63641	1.49201	-1.30528	0.90420	1.60524	cn
46	-0.20544	0.09896	1.63964	0.83770	-0.04285	-0.00205	0.08230	-0.28447	-0.56133	-0.35441	1.67275	0.43589	-0.95924	0.32137	0.94267	0.47628	0.31339	-0.47393	0.02650	0.94912	-0.81186	0.20581	-0.44692	0.07572	0.84671	sn
47	0.65968	0.63986	-0.70289	-0.99470	-0.61984	-0.87183	-0.99749	1.13953	1.06699	0.90924	-0.72646	-0.77700	0.14561	-0.55762	-1.05806	-0.97040	-0.68463	0.17185	-0.52958	-0.92711	-2.35462	-0.70794	0.38461	-0.51346	-0.89594	sn
48	0.55965	0.28494	-0.03699	-0.47965	-0.39310	-0.37965	-0.52238	0.80918	0.42856	0.36523	-0.15510	-0.64003	0.12266	-0.58898	-0.30982	-0.50354	-0.59225	0.16893	-0.54909	-0.26902	-1.75957	-0.59936	0.37267	-0.51091	-0.39107	sn
49	0.72568	0.97887	-0.74120	-1.22776	-0.81995	-0.96312	-0.52968	1.10140	0.96820	1.13815	-0.01936	-0.63589	0.34634	-0.53087	-0.95162	-0.40347	-0.71546	0.30873	-0.55346	-1.14823	-1.84634	-0.79661	0.41277	-0.55955	-1.17244	cn
50	-0.10946	-0.23828	1.42140	1.25581	-0.00415	0.05979	-0.38986	-0.60961	-0.63425	-0.33066	1.14001	2.25689	-1.78670	1.66299	1.64101	-0.37099	2.29230	-1.03213	1.97630	1.84765	-1.29163	2.07016	-1.06250	1.57165	1.96075	cn
51	0.08776	0.06231	1.36328	0.72053	-0.21916	0.13975	0.17530	-0.41420	-0.43864	-0.24717	0.61333	1.88784	-1.48809	1.21839	1.75232	-0.74176	2.04431	-0.97833	1.46965	1.76091	-1.84707	1.44383	-0.64232	0.69280	1.68415	cn
52	0.87484	0.79440	-0.58445	-1.41363	-0.90950	-1.22844	-0.91319	1.47392	1.38848	1.29047	0.02059	-1.04500	-0.01484	-0.67492	-1.88862	-0.44731	-0.91176	0.10032	-0.61190	-1.98581	-1.41556	-0.88279	0.34834	-0.56870	-1.79364	sn
53	-0.47424	-0.30979	2.55802	1.54084	-0.04121	-0.07407	0.05615	-0.50775	-0.87429	-0.43327	0.73036	0.41635	-0.21867	-0.03232	1.09500	-0.55493	0.53354	-0.20245	0.09201	1.17388	-1.13587	0.60487	-0.17732	0.12391	1.24679	cn
54	0.67552	0.97770	-0.11377	-1.13015	-0.74248	-0.77898	0.28544	1.10120	0.49345	0.82567	0.37875	-0.98043	-0.02798	-0.66330	-1.47391	-0.14769	-0.86520	0.13038	-0.60716	-1.44714	-1.02107	-0.84331	0.38112	-0.56633	-1.40527	sn
55	0.76435	0.98786	-0.57358	-1.35102	-0.84530	-1.14681	-0.83056	1.32640	1.06486	1.24744	0.76395	-1.07344	-0.02933	-0.68151	-2.04129	0.25281	-0.90870	0.11754	-0.61222	-1.86570	-0.68359	-0.89304	0.37620	-0.57260	-1.80078	sn
56	0.58367	0.59896	-0.54795	-0.78287	-0.56614	-0.66970	-1.33875	0.77214	0.69308	0.90915	-0.19251	-0.50069	0.09074	-0.36134	-0.62891	-0.61086	-0.34832	-0.40372	-0.27640	-0.52778	-1.70222	-0.36029	-0.13710	-0.27156	-0.46530	sn
57	-0.01010	-0.04326	1.44885	0.93143	-0.14686	0.14893	0.09841	-0.46320	-0.50994	-0.33253	0.84289	1.88174	-1.21146	1.13668	1.73239	-0.63635	2.14688	-0.60925	1.65212	1.81233	-1.70594	1.51235	-0.50248	0.77197	1.74488	cn
58	0.14117	0.00979	0.85552	0.56608	-0.04709	0.04339	0.08280	-0.36659	-0.52229	-0.18256	1.30287	1.51545	-1.55206	1.04728	1.41604	-0.46529	1.16315	-0.19140	0.73059	1.48315	-1.28811	0.93928	-0.19240	0.47556	1.48250	sn
59	1.24633	1.12158	-0.25755	-1.27031	-0.83952	-0.98810	-0.65807	1.36350	1.15782	0.80087	2.43722	0.19347	-0.90127	-0.11699	0.20967	0.10325	3.05043	0.38593	1.66398	0.73713	-1.23999	1.60048	0.11804	0.32465	0.92215	sn
60	0.57828	0.39047	0.25487	-0.34949	-0.40553	-0.33418	-0.17066	0.34735	0.02369	0.39308	0.58687	-0.08459	0.21793	-0.34434	0.47113	-0.40724	-0.15108	-0.18863	-0.32165	0.48500	-1.24675	-0.13363	-0.04347	-0.25864	0.39581	cn
61	0.57102	0.39673	0.31426	-0.69615	-0.61143	-0.74776	0.04305	0.52428	0.38543	0.81215	0.55391	-0.29739	0.40506	-0.38317	-0.00138	-0.03193	-0.45746	0.19776	-0.46437	-0.07521	-0.99029	-0.52120	0.34066	-0.48062	-0.21148	cn
62	-0.03927	-0.05985	1.51089	0.77276	-0.06888	0.32682	0.75494	-0.62231	-0.98327	-0.36125	0.98767	1.42089	-0.54766	0.67642	1.52793	-0.82750	1.25349	0.41368	0.73928	1.55966	-1.50833	1.06613	0.18910	0.42479	1.58545	sn
63	0.86790	0.79006	-0.41739	-1.31560	-0.84078	-1.13216	-1.13960	1.09632	1.24413	1.26436	2.51568	-0.91038	-0.17752	-0.64054	-1.35985	1.49222	-0.47331	-0.37629	-0.43984	-0.75386	-0.59401	-0.67013	0.16198	-0.50202	-0.87725	sn
64	0.78151	0.74846	-0.44214	-1.08968	-0.80101	-1.05822	-1.23556	1.00485	1.28061	1.14451	3.07623	-0.70857	-0.43913	-0.53533	-1.40586	2.30034	-0.40784	-0.51223	-0.33945	-0.46391	0.07085	-0.57595	-0.03263	-0.38496	-0.74616	sn
65	0.66961	0.38149	0.42433	-0.32432	-0.46156	-0.39985	-0.56764	0.73112	0.50426	0.23769	0.23560	-0.44233	0.23451	-0.53245	-0.00659	-0.37082	-0.59480	0.18329	-0.56194	-0.28161	-1.32401	-0.59307	0.40342	-0.52337	-0.36335	sn
66	-0.11212	0.08326	1.28033	0.55330	-0.18858	-0.07562	0.03208	-0.31448	-0.44227	-0.00710	1.82509	-0.10383	-0.37671	-0.34701	0.56377	0.28046	0.32576	0.09410	-0.10631	0.98462	-0.97454	-0.06065	0.14890	-0.29635	0.65504	sn
67	0.50862	0.19833	1.28803	-0.21625	-0.33036	0.13785	1.62052	-0.45974	-0.63928	-0.01364	1.07728	0.30942	-0.06078	-0.09458	0.91890	-0.30187	0.46336	0.35341	0.01616	1.14160	-1.09040	0.52507	0.30933	0.03590	1.23010	sn
68	1.16944	1.28250	0.24324	-0.91902	-0.72594	-0.71779	-0.05347	0.95477	0.74983	0.38032	1.04164	0.26409	-0.28156	-0.18736	0.91494	-1.78175	0.59953	1.57583	0.44827	1.02349	-2.30906	0.78476	1.20916	0.29821	1.31934	sn
69	0.84614	0.97197	-0.81696	-1.34358	-0.81496	-1.21496	-1.05945	1.36639	1.02401	1.31716	0.43291	-0.59524	0.21578	-0.59323	-0.89462	0.79112	-0.81456	0.14830	-0.60599	-1.23156	0.28624	-0.80387	0.37879	-0.56533	-1.11228	cn
70	0.82741	0.85168	-0.65959	-1.19998	-0.77424	-1.14408	-1.14910	1.23781	1.23310	1.15645	0.70682	-0.64083	0.24053	-0.56759	-0.90504	0.92041	-0.84156	0.14890	-0.60620	-1.41982	0.84844	-0.81789	0.37785	-0.56295	-1.24043	cn
71	0.65801	0.73051	-0.37758	-0.88243	-0.59172	-0.72046	-0.29859	0.69831	0.55328	0.81693	0.48592	-0.52852	0.22134	-0.53998	-0.20366	0.62083	-0.68828	0.10481	-0.56122	-0.63152	0.40147	-0.59165	0.28280	-0.49833	-0.41517	cn
72	0.77734	0.90625	-0.36841	-0.80832	-0.56350	-0.75550	-0.77236	0.63521	1.07569	0.60618	1.36306	-0.26219	0.19306	-0.34752	-0.23655	1.30446	-0.23952	0.11644	-0.36936	-0.10667	1.41604	-0.31637	0.08999	-0.42401	-0.26287	sn
73	-0.01251	-0.21199	0.74619	0.23217	-0.13674	0.29752	0.28706	-1.31876	1.77554	-0.50619	1.79605	-0.18703	0.29492	-0.45214	-0.23867	1.70665	-0.13384	0.51184	-0.37069	-0.02580	1.70202	-0.44492	0.29414	-0.49748	-0.68144	sn
74	0.81604	0.87952	-0.84130	-1.31120	-0.77354	-1.13138	-0.63490	1.06994	1.09181	1.23154	1.06848	-0.98132	0.02822	-0.65898	-1.53206	1.40690	-0.89056	0.10255	-0.60944	-1.65685	1.56428	-0.86358	0.35622	-0.56801	-1.56859	sn
75	-0.69969	-0.67756	2.69258	2.28638	0.12966	-0.18039	-0.98663	-0.83280	-0.78088	-0.51924	1.26641	0.30121	-0.39604	-0.06786	0.93792	0.53878	0.72781	-0.48801	0.31056	1.21634	0.67112	0.79982	-0.58562	0.26225	1.14206	cn
76	0.81812	0.87592	-0.59745	-1.38994	-0.84422	-1.27593	-1.09002	1.32473	1.23461	1.34912	0.99044	-0.97021	-0.00392	-0.66741	-1.32227	1.42840	-0.89997	0.11743	-0.61300	-1.66131	1.67100	-0.87802	0.37015	-0.57177	-1.64392	sn
77	-0.18159	-0.18416	1.90197	0.84785	-0.14754	-0.33748	-0.67489	-0.47278	0.13654	-0.07634	1.73443	-0.20103	-0.21894	-0.32708	0.30156	1.24450	0.05746	-0.49646	-0.02974	0.52060	1.47011	0.02947	-0.59211	-0.02135	0.19422	cn
78	0.71829	0.89326	-0.47187	-1.20886	-0.81926	-1.13376	-0.81292	1.29257	1.01653	1.19222	1.45626	-0.51844	0.33176	-0.53945	-0.92538	1.63694	-0.80660	0.16738	-0.60229	-1.38481	1.75618	-0.81361	0.38586	-0.56541	-1.30689	cn
79	0.53979	0.75606	-0.22440	-0.77878	-0.59520	-0.80440	-0.89210	0.69587	0.57966	0.91185	1.12728	-0.32633	0.34992	-0.50843	-0.38848	1.35144	-0.61268	0.23501	-0.55588	-0.47614	1.18370	-0.62369	0.37297	-0.52799	-0.46247	cn
80	0.32128	0.04755	0.76567	0.25907	-0.31330	-0.07743	0.14559	-0.27205	0.00354	0.06020	1.80954	0.12104	-0.39083	-0.22399	0.67107	0.85986	0.73691	0.08534	0.27134	1.13555	0.66073	0.43578	0.03238	-0.01646	0.99013	cn
81	1.19429	1.03465	-0.71008	-1.48324	-0.96395	-1.29271	-1.29464	1.29841	1.41986	1.36974	0.95915	-0.69365	0.14571	-0.60625	-0.76056	0.95425	-0.80283	0.10675	-0.59789	-1.15510	0.99488	-0.74648	0.30190	-0.54531	-0.96770	cn
82	-0.30487	-0.23971	2.33906	1.35040	-0.09326	-0.11329	-0.25296	-0.91651	0.00692	-0.43705	1.53243	0.45034	-0.65224	0.11461	0.89283	0.84421	0.74106	-0.64217	0.45005	1.12410	0.90144	0.79043	-0.94988	0.43931	0.94189	cn
83	0.63158	0.43910	1.18669	-0.08832	-0.46074	-0.31461	0.64103	-0.26118	0.49789	-0.01134	1.72883	0.82174	-1.00964	0.42223	0.98065	0.79735	1.10166	-0.44995	0.54968	1.36949	0.84708	1.08003	-0.87479	0.46483	1.11959	cn
84	0.32853	-0.03788	0.89463	0.20424	-0.16082	0.09147	-0.31665	-0.68228	0.43106	-0.14557	1.53511	-0.04772	0.19357	-0.34903	0.28351	1.02599	0.34776	0.56736	-0.08388	0.81791	0.85327	0.21236	0.31966	-0.25148	0.66323	sn
85	0.21661	0.30719	1.07133	0.18659	-0.32109	-0.48161	-0.63074	-0.06419	0.29118	0.22263	2.00523	-0.31226	-0.07231	-0.50511	0.24232	1.46444	-0.29752	0.00924	-0.44158	0.33475	1.67506	-0.33199	0.06952	-0.43240	-0.08753	cn
86	0.81838	0.83092	-0.27950	-1.12457	-0.71824	-0.86545	-0.52920	0.91189	0.82584	0.94849	1.39626	-0.40179	0.16433	-0.54725	-0.07666	1.16618	-0.70735	0.17470	-0.58728	-0.67312	1.35541	-0.67060	0.34994	-0.54255	-0.57177	cn
87	0.57496	0.58178	0.36659	-0.41138	-0.52387	-0.43176	-0.30957	-0.24599	1.11051	0.34504	2.47425	0.21236	-1.26957	0.13886	0.09996	1.30284	1.07459	-0.47195	0.70092	0.96935	1.12553	0.55004	-0.40530	0.16801	0.52385	cn
88	0.49346	0.71896	-0.17635	-0.89526	-0.66914	-0.84052	-0.33958	0.98276	0.58179	0.92116	-0.05290	-0.81352	0.09464	-0.61794	-0.88654	0.28114	-0.81839	0.15452	-0.59618	-1.17237	-0.22392	-0.78890	0.39426	-0.55745	-1.06944	cn
89	0.59898	0.82734	-0.45190	-1.18540	-0.72171	-1.19051	-1.11395	1.12142	1.08152	1.23175	1.11455	-0.48220	0.28699	-0.55730	-0.64937	1.46398	-0.79105	0.14545	-0.60092	-1.04417	1.36116	-0.77905	0.37047	-0.55651	-1.01143	cn
90	0.80170	0.81380	-0.64160	-1.26549	-0.65428	-0.98035	-1.19814	0.87973	0.98539	1.15118	0.45741	-0.73438	0.19107	-0.56329	-0.67990	0.81016	-0.70161	0.02540	-0.54069	-0.86806	0.75761	-0.61089	0.16723	-0.46610	-0.77425	sn
91	0.75499	0.96861	-0.55030	-1.30049	-0.84152	-1.29359	-1.50153	1.31388	1.17730	1.38716	1.33861	-0.57350	0.27432	-0.58018	-1.13694	1.59530	-0.81799	0.15084	-0.60524	-1.32994	1.54471	-0.81536	0.37916	-0.56355	-1.26106	cn
92	0.70707	0.39304	0.57198	-0.39851	-0.60382	-0.34384	0.54265	0.45081	0.12838	0.36280	0.45358	-0.23001	0.22817	-0.27161	-0.01822	0.44413	-0.14775	-0.08778	-0.22428	0.25329	0.15565	-0.22528	0.05414	-0.27167	0.24021	sn
93	-0.05562	-0.03412	1.75259	0.85981	-0.20599	-0.13678	-0.03186	-0.68958	0.14451	-0.24636	1.69108	0.59045	-0.86324	0.21385	0.94926	1.06589	0.65999	-0.69235	0.25814	1.09159	1.07315	0.66692	-0.93720	0.27890	0.85952	cn
94	0.54907	0.78441	-0.44567	-1.13618	-0.64846	-0.95574	-1.11077	0.95343	1.23782	1.00607	0.95097	-0.51837	0.46348	-0.44346	-0.62559	1.27507	-0.58164	0.34173	-0.49208	-0.63884	1.28951	-0.66582	0.37156	-0.52270	-0.84008	sn
95	0.62843	0.65357	0.04585	-0.87139	-0.66114	-0.90412	-0.34960	0.73060	0.68624	0.90817	1.32952	-0.31482	0.43555	-0.48383	-0.54917	1.68982	-0.63223	0.27349	-0.56392	-0.78677	1.67009	-0.71387	0.38951	-0.54861	-0.95405	cn
96	0.92336	0.91649	-0.68049	-1.29959	-0.74794	-1.08343	-1.18477	1.18395	1.03460	1.17622	1.55080	-0.45709	0.19300	-0.53594	-0.41741	1.48196	-0.72225	0.08935	-0.57398	-0.86256	1.63023	-0.65641	0.20956	-0.47391	-0.72685	cn
