	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	clase
11	0.478111	0.622429	0.160574	-0.564607	0.501106	0.460313	-0.551765	-0.346286	0.521307	0.257262	-0.298255	-0.340398	0.485106	0.494521	0.0351826	-0.247519	0.506834	0.331593	0.045321	-0.457315	0.525788	0.168889	0.05958	-0.448092	0.714082	0.146226	-0.378689	-0.618182	0.736434	0.156309	-0.369373	-0.825673	0.461604	0.16899	-0.183759	-0.613079	3
12	0.185063	0.446412	-0.559189	-0.564607	0.205956	0.241128	-0.311201	-0.346286	0.224964	0.257262	-0.0583963	-0.340398	0.485106	0.143433	-0.504109	-0.46026	0.506834	0.15629	-0.492748	-0.828788	0.154471	0.168889	-0.71794	-0.659466	0.420995	0.321904	-0.199065	-0.618182	0.440881	0.156309	-0.369373	-0.825673	0.163936	0.16899	-0.603908	-0.824769	3
13	0.185063	0.226391	-0.319268	-0.350651	0.205956	0.241128	-0.0706369	-0.346286	0.521307	0.476432	-0.0583963	-0.340398	0.485106	0.143433	-0.504109	-0.832558	0.138135	0.15629	-0.73189	-0.669585	0.154471	-0.00635172	-0.71794	-0.817997	0.420995	0.146226	-0.378689	-0.829998	0.145328	0.156309	-0.608304	-0.825673	0.163936	-0.182462	-1.08408	-1.08938	3
14	0.478111	0.446412	-0.079347	-0.350651	0.205956	0.0657801	-0.551765	-0.560027	-0.0713797	0.0819257	-0.298255	-0.552675	0.119002	-0.0321105	-0.743794	-0.832558	-0.083084	-0.0190125	-0.73189	-0.828788	-0.0683189	-0.00635172	-0.71794	-0.817997	0.127908	-0.205129	-1.09719	-1.09477	0.145328	-0.194383	-0.847235	-1.08967	-0.133733	-0.358188	-0.843994	-1.08938	3
15	-0.107985	0.0503742	-0.799109	-0.778563	-0.0891939	0.241128	-0.792329	-0.560027	-0.0713797	0.0819257	-0.538114	-0.340398	0.119002	-0.0321105	-0.743794	-0.832558	-0.083084	-0.0190125	-0.73189	-0.828788	-0.0683189	-0.00635172	-0.71794	-0.817997	0.127908	-0.205129	-0.857687	-1.09477	0.145328	-0.369728	-1.08617	-0.825673	0.163936	-0.358188	-1.08408	-1.08938	3
16	-0.107985	0.226391	-0.799109	-0.564607	-0.0891939	0.0657801	-0.551765	-0.346286	-0.0713797	0.476432	-0.298255	-0.18119	-0.10066	-0.0321105	-0.743794	-0.832558	-0.083084	-0.0190125	-0.73189	-0.828788	0.154471	-0.00635172	-0.71794	-0.659466	0.127908	-0.380807	-1.09719	-0.829998	0.145328	-0.369728	-1.08617	-1.08967	-0.133733	-0.358188	-0.843994	-0.613079	3
17	-0.107985	0.0503742	-0.559189	-0.350651	-0.0891939	0.460313	-0.311201	-0.185981	0.521307	0.476432	0.721145	-0.18119	-0.10066	-0.0321105	-0.743794	-0.832558	0.138135	-0.0190125	-0.73189	-0.669585	0.525788	0.344129	-0.478703	-0.448092	0.127908	-0.380807	-1.09719	-1.09477	-0.150226	-0.369728	-0.847235	-0.614478	-0.133733	-0.358188	-0.183759	-0.189698	3
18	-0.107985	0.446412	-0.319268	-0.190184	0.501106	0.460313	0.711197	-0.185981	0.81765	0.651768	0.421322	0.0310878	0.119002	-0.0321105	-0.743794	-0.673002	0.506834	0.331593	-0.492748	-0.457315	0.525788	0.519369	0.298817	-0.078187	-0.16518	-0.380807	-0.857687	-0.618182	-0.150226	-0.369728	-0.190175	-0.192088	0.461604	-0.00673584	-0.183759	0.0219924	3
19	0.771159	0.446412	0.160574	0.0237715	0.796257	0.811008	0.711197	0.2415	1.11399	1.00244	0.961004	0.455643	1.07087	0.845609	0.274868	0.124779	1.09675	0.8575	0.523605	0.126429	1.41695	1.04509	1.13615	0.291718	0.714082	0.673259	0.279933	0.0172653	1.10588	0.682346	0.825281	0.230303	1.13136	0.696169	0.596519	0.233683	2
20	1.35726	0.974463	0.940317	0.237727	1.38656	1.20554	0.711197	0.455241	1.41034	1.00244	0.961004	0.243365	1.36376	1.02115	1.11377	0.497076	1.39171	1.25193	0.822532	0.285632	1.41695	0.86985	0.8371	0.291718	1.37353	1.02461	0.818806	0.229081	1.40143	1.03304	0.287687	0.230303	1.42903	1.04762	0.596519	0.0219924	2
21	1.06421	0.622429	0.700396	0.0237715	0.796257	0.241128	0.951761	0.2415	1.41034	0.827105	0.421322	0.243365	1.36376	0.845609	0.514553	0.124779	1.09675	0.682198	0.523605	0.126429	1.41695	0.69461	0.298817	0.133187	1.08044	0.673259	0.579307	0.0172653	1.40143	0.857691	0.586351	0.230303	1.42903	0.871895	0.596519	0.233683	2
22	0.771159	0.226391	0.940317	0.237727	1.38656	0.811008	0.410491	0.2415	1.70668	1.39695	0.721145	0.455643	1.07087	0.670065	0.514553	0.124779	1.39171	0.682198	0.284463	0.126429	1.41695	0.86985	0.8371	0.291718	1.37353	0.848937	0.579307	0.229081	1.40143	0.857691	0.586351	0.230303	1.13136	0.871895	0.836604	0.233683	2
23	1.35726	0.798446	0.400495	0.237727	1.68171	1.38089	0.711197	0.455241	1.70668	1.39695	0.961004	0.614851	1.36376	0.670065	0.274868	0.124779	1.39171	0.8575	0.822532	0.285632	1.41695	1.26414	1.13615	0.503092	1.37353	0.848937	0.579307	0.229081	1.10588	0.857691	0.825281	0.230303	1.42903	1.22335	0.836604	0.498296	2
24	1.6503	1.3705	0.940317	0.61215	1.68171	1.20554	1.25247	0.455241	1.11399	1.00244	0.721145	0.243365	1.36376	1.24058	1.11377	0.497076	1.39171	1.25193	1.3606	0.285632	1.714	1.26414	1.73424	0.503092	1.37353	1.20029	0.818806	0.493851	1.77087	1.03304	0.586351	0.494297	1.80111	1.22335	0.836604	0.498296	2
25	1.06421	0.974463	0.700396	0.237727	1.09141	0.63566	0.711197	0.2415	1.11399	0.651768	0.421322	0.455643	1.65664	1.24058	0.814159	0.284335	1.39171	0.8575	0.822532	0.126429	2.08532	1.04509	0.8371	0.291718	1.37353	1.20029	1.11818	0.493851	1.77087	1.03304	0.825281	0.230303	1.80111	1.04762	0.836604	0.233683	2
26	1.06421	0.622429	0.400495	0.451683	1.09141	0.811008	0.711197	0.2415	1.11399	1.00244	0.721145	0.243365	2.02274	1.02115	0.814159	0.284335	1.68667	1.25193	1.12146	0.497902	1.714	1.26414	1.13615	0.503092	1.73989	1.02461	0.818806	0.229081	1.77087	1.03304	0.586351	0.230303	1.42903	1.04762	0.596519	0.498296	2
27	1.06421	0.798446	0.700396	0.237727	1.09141	0.986356	0.711197	0.2415	1.41034	1.22161	0.961004	0.455643	1.65664	1.24058	1.11377	0.497076	1.68667	1.25193	1.12146	0.497902	1.714	1.04509	0.8371	0.503092	1.73989	1.02461	0.579307	0.229081	1.40143	1.03304	0.586351	0.494297	1.42903	1.04762	0.596519	0.233683	2
28	1.06421	0.974463	0.700396	0.237727	1.38656	1.20554	0.951761	0.455241	1.41034	1.22161	1.26083	0.243365	1.65664	1.24058	1.11377	0.497076	1.68667	1.0328	0.822532	0.497902	1.714	1.04509	1.13615	0.291718	1.37353	1.02461	0.579307	0.493851	1.40143	1.03304	0.586351	0.230303	1.42903	1.04762	0.596519	0.233683	2
29	1.35726	1.19448	0.940317	0.451683	1.38656	1.20554	1.25247	0.2415	1.41034	1.22161	0.961004	0.243365	1.65664	1.02115	0.814159	0.497076	1.68667	1.0328	1.12146	0.285632	1.41695	1.04509	1.13615	0.291718	1.37353	1.02461	0.579307	0.229081	1.40143	1.03304	0.586351	0.230303	1.42903	1.04762	0.596519	0.233683	2
30	1.35726	1.19448	0.940317	0.237727	1.68171	0.986356	0.410491	0.2415	1.41034	1.00244	0.421322	0.243365	1.36376	1.02115	1.11377	0.284335	1.39171	1.0328	1.12146	0.285632	1.41695	0.86985	0.538054	0.133187	1.37353	1.02461	0.579307	0.229081	1.40143	0.857691	0.586351	0.230303	1.80111	0.871895	0.596519	0.233683	2
31	1.6503	0.974463	0.400495	0.237727	1.38656	0.986356	0.410491	0.2415	1.11399	1.00244	0.721145	0.0310878	1.36376	1.02115	1.11377	0.284335	1.39171	0.8575	0.523605	0.126429	1.41695	0.86985	0.8371	0.503092	1.37353	0.848937	0.579307	0.229081	1.77087	0.857691	0.586351	0.230303	1.42903	1.04762	0.596519	0.233683	2
32	1.35726	0.622429	0.400495	0.0237715	1.09141	0.63566	0.410491	0.0277598	1.41034	1.00244	0.181463	0.0310878	1.36376	1.02115	0.814159	0.284335	1.39171	0.8575	0.523605	-0.0858415	1.41695	0.86985	0.538054	0.291718	1.37353	1.20029	0.818806	0.493851	1.40143	1.03304	0.825281	0.230303	1.42903	1.04762	0.836604	0.233683	2
33	1.06421	0.622429	0.400495	0.0237715	1.38656	0.986356	0.169927	0.0277598	1.41034	0.827105	0.181463	0.0310878	1.36376	0.845609	0.514553	-0.0879627	1.39171	0.8575	0.523605	0.285632	1.11989	0.69461	0.298817	0.133187	1.37353	1.02461	0.818806	0.229081	1.40143	1.03304	0.825281	0.230303	1.42903	1.04762	0.596519	0.0219924	2
34	1.35726	0.798446	0.160574	0.0237715	1.38656	0.63566	0.410491	0.0277598	1.11399	0.827105	0.421322	0.0310878	1.07087	0.670065	0.274868	0.124779	1.09675	0.8575	0.523605	-0.0858415	1.41695	0.69461	0.298817	0.133187	1.37353	1.02461	0.579307	0.0172653	1.10588	0.682346	0.287687	0.230303	0.759272	0.696169	0.0563267	-0.189698	2
35	1.35726	0.622429	0.400495	0.0237715	1.09141	0.811008	0.410491	0.0277598	1.41034	1.22161	0.721145	0.243365	1.07087	0.845609	0.514553	-0.0879627	1.39171	0.682198	0.284463	0.126429	1.11989	0.86985	0.538054	0.133187	1.08044	0.673259	0.279933	0.229081	0.736434	0.682346	0.0487559	-0.192088	1.42903	0.520443	0.0563267	-0.189698	2
36	1.06421	0.798446	0.400495	0.0237715	1.38656	1.20554	0.711197	0.2415	1.41034	1.22161	0.421322	0.243365	1.36376	0.670065	0.274868	0.124779	1.09675	0.8575	0.523605	0.126429	1.41695	0.519369	0.298817	-0.078187	0.714082	0.673259	0.040434	-0.194551	1.40143	0.507	0.0487559	-0.192088	1.42903	0.520443	0.0563267	0.0219924	2
37	1.35726	1.19448	0.400495	0.237727	1.38656	0.986356	0.711197	0.2415	1.11399	1.00244	0.421322	0.243365	1.36376	0.494521	0.274868	-0.0879627	1.09675	0.682198	0.523605	0.126429	1.41695	0.86985	0.8371	0.133187	1.37353	0.497582	0.040434	0.0172653	1.40143	0.857691	0.0487559	0.0191076	1.42903	0.871895	0.596519	0.0219924	2
38	1.06421	0.974463	0.400495	0.237727	1.09141	0.986356	0.711197	0.455241	1.11399	1.00244	0.961004	0.243365	1.36376	0.845609	0.814159	0.124779	1.39171	1.0328	0.822532	0.126429	1.41695	0.86985	0.538054	0.133187	1.37353	0.848937	0.579307	0.0172653	1.40143	0.857691	0.825281	0.0191076	1.13136	0.871895	0.296412	0.0219924	2
39	1.06421	0.974463	0.940317	0.237727	1.38656	0.986356	0.711197	0.2415	1.41034	1.00244	0.421322	0.243365	1.36376	0.845609	0.514553	0.124779	1.39171	0.8575	0.822532	0.126429	1.41695	0.69461	0.298817	0.133187	1.08044	0.848937	0.279933	0.0172653	1.10588	0.682346	0.586351	0.0191076	1.13136	0.871895	0.296412	0.0219924	2
40	1.35726	0.974463	0.700396	0.237727	1.38656	0.986356	0.410491	0.2415	1.11399	1.00244	0.421322	0.243365	1.36376	0.845609	0.814159	0.124779	1.39171	0.682198	0.284463	0.126429	1.11989	0.69461	0.298817	0.133187	1.08044	0.673259	0.579307	0.0172653	1.10588	0.857691	0.287687	0.0191076	1.42903	0.696169	0.0563267	-0.189698	2
41	1.35726	0.974463	0.400495	0.237727	1.09141	0.986356	0.410491	0.2415	1.11399	0.827105	0.721145	0.0310878	1.36376	0.670065	0.274868	0.124779	1.09675	0.682198	0.284463	0.126429	1.11989	0.69461	0.298817	-0.078187	1.08044	0.848937	0.279933	0.0172653	1.40143	0.682346	0.0487559	-0.192088	1.13136	0.696169	0.296412	-0.189698	2
42	1.06421	0.798446	0.700396	0.0237715	1.09141	0.63566	-0.0706369	0.0277598	0.81765	0.651768	0.181463	0.0310878	1.07087	0.670065	0.274868	-0.0879627	1.09675	0.682198	0.045321	-0.0858415	0.822841	0.344129	-0.179657	-0.236718	1.08044	0.673259	0.279933	-0.194551	0.736434	0.507	0.0487559	-0.192088	0.759272	0.696169	0.0563267	0.0219924	2
43	1.06421	0.622429	-0.079347	0.0237715	0.796257	0.63566	0.169927	0.0277598	0.81765	0.476432	0.181463	0.0310878	1.07087	0.670065	0.0351826	-0.0879627	0.801793	0.331593	-0.193821	-0.245044	0.822841	0.168889	-0.179657	-0.448092	0.714082	0.497582	0.040434	-0.194551	0.736434	0.682346	0.0487559	0.0191076	0.759272	0.520443	0.0563267	0.0219924	2
44	0.771159	0.446412	0.160574	0.0237715	0.501106	0.241128	-0.0706369	-0.185981	-0.0713797	-0.268747	-0.298255	-0.18119	0.777989	0.143433	-0.204502	-0.46026	0.138135	-0.369618	-0.73189	-0.245044	-0.662426	-1.27684	-0.71794	-0.448092	0.714082	0.497582	0.040434	0.0172653	0.736434	0.331654	0.287687	-0.192088	0.461604	-0.182462	-0.183759	-0.189698	4
45	0.478111	0.226391	-0.079347	-0.190184	-0.0891939	-0.284915	-0.311201	-0.185981	-0.664066	-0.926258	-1.25769	-0.340398	0.119002	-0.383198	-0.743794	-0.247519	-0.673002	-1.28996	-0.73189	-0.457315	-0.959479	-0.970174	-0.71794	-0.236718	0.714082	0.321904	0.279933	-0.194551	0.440881	-0.194383	-0.190175	-0.192088	0.461604	-0.00673584	-0.183759	-0.189698	4
46	-0.694081	-0.961724	-1.27895	-0.350651	-0.384344	-0.460263	-0.551765	-0.346286	0.81765	0.476432	0.421322	0.0310878	-0.979309	-0.997602	-0.743794	-0.247519	0.138135	-0.194315	0.045321	-0.0858415	0.822841	0.519369	0.05958	0.133187	0.420995	-0.0294513	-0.199065	-0.194551	1.10588	0.682346	0.287687	0.0191076	1.13136	0.696169	0.296412	0.0219924	4
47	-0.401033	-0.477677	-0.559189	-0.350651	0.796257	0.460313	0.410491	0.0277598	1.11399	0.651768	0.181463	0.0310878	0.119002	-0.207654	0.0351826	-0.0879627	0.801793	0.506895	0.045321	0.126429	0.822841	0.344129	0.05958	-0.078187	1.08044	0.673259	0.279933	0.0172653	1.10588	0.682346	0.287687	0.0191076	0.759272	0.520443	0.0563267	-0.401389	5
48	0.771159	0.446412	0.160574	-0.350651	0.501106	0.460313	-0.311201	-0.560027	0.224964	-0.0934105	-1.01783	-0.764953	0.485106	-0.0321105	-0.504109	-0.46026	0.138135	-0.194315	-0.73189	-0.669585	0.154471	-0.181592	-1.19641	-0.817997	0.420995	-0.0294513	-0.857687	-0.618182	0.145328	-0.369728	-0.847235	-0.825673	0.163936	-0.182462	-1.32416	-0.824769	5
49	0.185063	-0.125643	-1.03903	-0.778563	-0.0891939	-0.460263	-1.27346	-0.934073	-0.367723	-0.619419	-1.25769	-0.924161	0.119002	-0.207654	-1.22316	-0.832558	0.138135	-0.194315	-0.971032	-0.828788	0.154471	-0.181592	-1.19641	-1.02937	0.127908	-0.205129	-1.33669	-0.829998	0.145328	-0.369728	-1.08617	-0.825673	-0.133733	-0.489983	-1.08408	-0.824769	5
50	-0.107985	-0.477677	-1.27895	-0.93903	-0.384344	-0.635611	-1.27346	-0.934073	-0.0713797	-0.268747	-0.777973	-0.924161	0.119002	-0.207654	-0.983479	-0.832558	0.138135	-0.194315	-1.21017	-1.04106	-0.0683189	-0.356832	-1.19641	-0.817997	0.127908	-0.380807	-1.09719	-0.829998	-0.150226	-0.501237	-1.08617	-0.825673	-0.133733	-0.841435	-1.08408	-0.824769	5
51	-0.107985	-0.30166	-0.799109	-0.93903	-0.384344	-0.767122	-0.792329	-0.773768	-0.886324	-1.2331	-1.25769	-0.552675	-0.10066	-0.383198	-1.22316	-0.832558	-0.673002	-0.676397	-1.21017	-0.828788	-1.18227	-1.27684	-1.43565	-0.659466	-0.16518	-0.86392	-1.09719	-0.829998	-0.741333	-0.983438	-1.3251	-0.614478	-1.02674	-1.28075	-0.843994	-0.824769	4
52	-0.401033	-0.785707	-0.799109	-0.778563	-0.900857	-1.24933	-1.27346	-0.560027	-1.18267	-1.4961	-1.67744	-0.924161	-0.686426	-0.6904	-1.22316	-0.832558	-1.18918	-1.28996	-1.44932	-0.669585	-1.18227	-1.27684	-1.67489	-1.02937	-0.751354	-0.995678	-1.33669	-0.618182	-1.03689	-1.29029	-0.847235	-0.825673	-1.02674	-1.41255	-1.50423	-0.824769	4
53	-0.913867	-1.26975	-1.27895	-0.564607	-1.19601	-1.51235	-1.69444	-0.934073	-0.886324	-1.4961	-1.49755	-0.924161	-1.19897	-1.3048	-1.46285	-0.673002	-1.18918	-1.28996	-1.68846	-1.04106	-0.959479	-1.27684	-1.67489	-1.02937	-1.04444	-1.30311	-0.857687	-0.829998	-1.03689	-1.4218	-1.5043	-0.825673	-1.02674	-1.54434	-1.74431	-1.08938	4
54	-0.913867	-1.53378	-1.51887	-0.93903	-1.19601	-1.51235	-1.51402	-0.773768	-1.18267	-1.3646	-1.49755	-0.764953	-0.979309	-1.3048	-1.70253	-1.0453	-0.967961	-1.42143	-1.9276	-1.04106	-1.18227	-1.40827	-1.91412	-0.817997	-1.04444	-1.56663	-1.75581	-1.09477	-1.33244	-1.55331	-1.74323	-0.825673	-1.3244	-1.54434	-1.74431	-0.824769	4
55	2.30966	1.85455	2.01996	1.09355	1.68171	1.24938	1.13218	0.13463	1.11399	0.870939	0.301392	-0.075051	2.38885	1.85499	2.07251	1.1353	1.39171	1.64636	1.71931	0.922443	1.11989	1.04509	0.8371	0.238874	1.52007	1.28813	1.05831	0.493851	1.54921	1.29606	1.36288	0.705492	1.94994	1.97018	1.6769	1.08044	2
56	1.6503	1.23849	1.12026	0.130749	1.09141	0.854845	0.290209	-0.0791105	1.11399	0.695602	0.301392	-0.234259	1.36376	1.63556	1.71298	0.922559	1.09675	1.0328	0.822532	0.232564	1.11989	0.69461	0.298817	-0.183874	1.52007	1.28813	1.35768	0.705667	1.91865	1.9536	1.66154	1.07508	1.94994	1.75053	1.6769	0.921677	2
57	1.06421	0.842451	0.280534	-0.0832064	1.09141	0.679497	0.290209	-0.239416	1.11399	0.695602	0.301392	-0.075051	1.07087	1.02115	0.814159	0.231149	1.09675	0.682198	0.284463	-0.191977	1.11989	0.69461	0.298817	-0.183874	1.88643	1.94692	1.65705	1.07634	1.91865	1.73442	1.66154	0.916687	0.982523	0.740101	0.536498	0.127838	2
58	1.06421	0.666434	0.280534	-0.243673	1.09141	0.679497	0.290209	-0.0791105	0.521307	0.695602	0.301392	-0.075051	1.07087	0.670065	0.274868	-0.194333	1.09675	0.682198	0.284463	-0.191977	1.11989	0.86985	0.298817	-0.183874	1.88643	1.72733	1.65705	0.917483	0.958099	0.726182	0.526618	0.124705	0.982523	0.740101	0.536498	-0.0838528	2
59	1.06421	0.666434	0.280534	-0.0832064	0.501106	0.679497	0.290209	-0.0791105	0.521307	0.695602	0.541251	0.137226	1.07087	0.670065	0.274868	-0.194333	1.09675	0.8575	0.284463	-0.191977	0.748578	1.04509	0.597863	0.238874	0.933898	0.717179	0.519432	0.123173	0.958099	0.726182	0.526618	-0.0864901	0.982523	0.740101	0.296412	-0.242621	2
60	0.478111	0.666434	0.520455	0.130749	0.501106	0.854845	1.13218	0.294936	0.81765	1.04627	1.1409	0.296435	0.704768	1.02115	0.574474	0.231149	0.728053	1.0328	0.58339	0.232564	0.748578	1.04509	0.8371	0.238874	0.933898	0.717179	0.279933	-0.247505	0.662546	0.726182	0.287687	-0.0864901	0.982523	0.915827	0.296412	0.127838	2
61	0.478111	0.842451	1.12026	0.291216	0.796257	1.03019	1.13218	0.294936	0.81765	1.26545	1.1409	0.296435	0.704768	1.02115	0.574474	0.231149	0.728053	1.0328	0.822532	0.232564	0.748578	0.86985	0.298817	0.0275001	0.64081	0.717179	0.279933	-0.0886427	0.958099	0.901528	0.287687	0.124705	0.982523	0.915827	0.536498	0.127838	2
62	0.771159	1.01847	1.12026	0.291216	0.796257	1.24938	1.13218	0.294936	0.81765	1.04627	0.841075	0.137226	0.704768	1.02115	0.814159	0.231149	0.728053	0.8575	0.284463	0.0202937	0.748578	0.86985	0.298817	-0.183874	0.933898	0.892856	0.279933	0.123173	0.958099	0.901528	0.526618	0.124705	0.982523	0.740101	0.536498	0.127838	2
63	0.771159	1.23849	1.12026	0.291216	0.796257	1.03019	0.831479	0.13463	0.81765	0.520266	0.0615332	-0.234259	0.704768	0.845609	0.274868	0.018408	0.728053	0.8575	0.284463	-0.191977	0.748578	0.519369	0.05958	-0.183874	0.933898	0.892856	0.519432	0.123173	0.958099	0.726182	0.526618	0.124705	0.684855	0.564374	-0.183759	-0.242621	2
64	0.771159	0.3144	0.0406134	-0.243673	0.796257	0.328802	0.0496452	-0.453157	0.81765	0.520266	0.301392	-0.446537	0.704768	0.494521	0.0351826	-0.407075	0.433094	0.506895	0.045321	-0.191977	0.451525	0.344129	-0.179657	-0.395248	0.347723	0.321904	-0.438564	-0.671136	0.662546	0.331654	-0.190175	-0.456082	0.387187	0.16899	-0.423844	-0.666002	3
65	0.771159	0.490417	0.280534	-0.457629	0.501106	0.328802	0.290209	-0.453157	0.521307	0.520266	0.0615332	-0.234259	0.411885	0.318977	-0.204502	-0.407075	0.433094	0.331593	-0.193821	-0.616517	0.748578	0.168889	-0.359085	-0.606623	0.347723	0.146226	-0.438564	-0.671136	0.366993	0.156309	-0.668037	-0.667277	0.684855	0.16899	-0.904015	-0.666002	3
66	0.478111	0.3144	0.280534	-0.457629	0.501106	0.50415	0.0496452	-0.239416	0.521307	0.34493	0.0615332	-0.446537	0.411885	0.318977	-0.204502	-0.619816	0.728053	0.15629	-0.373177	-0.616517	0.748578	0.168889	-0.359085	-0.817997	0.347723	0.146226	-0.678063	-0.671136	0.662546	0.156309	-0.906968	-0.667277	0.387187	0.16899	-0.66393	-0.877692	3
67	0.478111	0.490417	0.0406134	-0.243673	0.501106	0.328802	0.0496452	-0.453157	0.521307	0.169594	0.0615332	-0.446537	0.704768	0.143433	-0.384266	-0.619816	0.728053	0.15629	-0.373177	-0.828788	0.451525	0.168889	-0.179657	-0.606623	0.64081	0.146226	-0.917562	-0.671136	0.366993	0.156309	-0.668037	-0.878472	0.387187	0.16899	-0.423844	-0.666002	3
68	0.478111	0.3144	0.0406134	-0.457629	0.501106	0.153454	0.0496452	-0.453157	0.521307	0.169594	-0.47815	-0.446537	0.704768	0.143433	-0.384266	-0.832558	0.433094	0.15629	-0.193821	-0.616517	0.451525	0.344129	-0.179657	-0.606623	0.347723	0.146226	-0.678063	-0.882952	0.366993	0.156309	-0.429106	-0.667277	0.684855	0.16899	-0.66393	-0.877692	3
69	-0.107985	-0.0376343	-0.739129	-0.832052	-0.0891939	-0.0218938	-0.732188	-0.827203	-0.0713797	-0.181079	-0.718009	-1.0303	0.119002	-0.207654	-0.863637	-1.09848	-0.156824	-0.369618	-0.851461	-1.09413	0.154471	-0.356832	-0.837558	-1.08221	0.0546358	-0.0294513	-0.678063	-0.671136	0.0714393	-0.019037	-0.906968	-0.878472	-0.20815	-0.182462	-0.904015	-1.03646	3
