	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	estado
17	-0.75321	-0.97106	-0.13127	-0.47097	1.04849	1.50613	0.26188	-1.15084	-0.59619	-0.91403	-2.32134	-0.80064	0.55375	-0.60414	-0.65814	-1.86670	-0.91700	0.59461	-0.71553	-0.81300	-2.58370	-0.82517	0.59881	-0.62900	-0.73396	ac
18	-0.49482	-0.44492	0.20077	-0.52091	0.32485	0.49162	0.49434	0.12529	-0.39031	-0.14910	-1.76228	-0.91065	0.60543	-0.63645	-0.91483	-1.27061	-1.01706	0.61819	-0.74675	-1.11104	-1.99899	-0.92050	0.64314	-0.65925	-0.98877	ac
19	-0.74575	0.45374	-1.01162	-0.78523	-0.24733	0.70934	1.02295	0.15820	0.23027	0.13431	-1.31871	-0.77567	0.65073	-0.63312	-0.75194	-0.84200	-0.97880	0.65688	-0.75646	-1.08625	-1.49991	-0.93798	0.67333	-0.67793	-0.99483	ac
20	-0.97688	-0.25322	-0.99990	-0.98786	0.32789	1.17842	0.84322	0.87695	-0.01405	-0.66457	-1.57959	-1.03637	0.60923	-0.65829	-1.51583	-1.10588	-1.10947	0.64211	-0.76692	-1.63118	-1.72752	-1.02646	0.68719	-0.68541	-1.46939	ac
21	-1.09434	0.27629	-0.37544	-0.16314	1.61971	1.06521	-0.35609	-0.33042	-1.11775	-1.21108	-1.54301	-0.58883	0.60274	-0.56599	-0.08750	-1.35811	-0.67594	0.42168	-0.63974	-0.22066	-1.92468	-0.63111	0.53666	-0.59321	-0.24705	v/at
22	-1.32726	-1.42332	-0.67595	-0.45472	1.18656	1.84566	0.38698	-0.72933	-0.64330	-1.15095	-2.00185	-1.00568	0.62522	-0.65703	-1.34875	-1.70599	-1.08631	0.66079	-0.76563	-1.47374	-2.17667	-1.01472	0.70251	-0.68621	-1.39974	ac
23	-0.38597	-0.20100	0.23619	-0.72723	1.25461	1.75355	-0.25654	-1.56679	-0.95987	-0.77308	-1.90533	-0.50206	0.62305	-0.52744	-0.02262	-1.59491	-0.61656	0.56442	-0.61743	-0.17432	-2.32197	-0.54228	0.62372	-0.55384	-0.04671	ac
24	0.12939	-0.32540	-0.13252	-0.46951	0.49363	1.74354	0.05228	-1.08678	-0.89315	-0.54377	-1.75859	-0.61139	0.65793	-0.58227	-0.20256	-1.39417	-0.82250	0.64877	-0.70817	-0.44770	-2.11162	-0.72463	0.67794	-0.62647	-0.34639	ac
25	-0.89378	-0.84736	-1.01604	-1.05563	0.38134	2.13622	0.94498	-0.52286	-0.21569	-0.71880	-1.71874	-0.79732	0.70354	-0.63120	-0.89087	-1.36783	-0.97659	0.69393	-0.75428	-1.09871	-2.05693	-0.94339	0.71103	-0.67916	-1.06938	ac
26	-1.53379	-1.85303	-0.96350	-0.77048	1.10774	2.11513	0.78385	-0.43038	-0.55641	-1.10668	-2.00682	-1.01455	0.63212	-0.65521	-1.50802	-1.62528	-1.09806	0.65965	-0.76440	-1.67195	-2.39579	-1.01691	0.70325	-0.68360	-1.47505	ac
27	-1.58297	-1.98686	-1.34889	-0.94572	0.98465	3.06928	1.46491	-1.00267	-0.54672	-1.78705	-2.04560	-1.03066	0.62582	-0.65775	-1.59091	-1.61838	-1.09899	0.65467	-0.76549	-1.66524	-2.36741	-1.03041	0.70095	-0.68585	-1.56949	ac
28	-1.60019	-1.99390	-1.15430	-0.74528	1.30581	2.85460	1.14936	-1.24255	-0.75115	-1.75788	-1.88222	-0.98748	0.64177	-0.65306	-1.35213	-1.43888	-1.07835	0.66584	-0.76357	-1.51537	-2.22301	-1.00365	0.70789	-0.68334	-1.38932	ac
29	-1.74436	-1.36534	-0.82521	-0.71656	-0.08264	2.36840	1.29852	-0.30422	0.27382	-1.35302	-1.81321	-1.00000	0.64153	-0.65438	-1.46326	-1.46367	-1.09522	0.66943	-0.76582	-1.70682	-2.07882	-1.04238	0.70125	-0.68809	-1.68442	ac
30	0.11683	0.46873	-0.26082	-0.71806	0.56397	1.05188	0.32346	-0.84359	-0.69766	-0.19027	-1.57026	-0.73963	0.65156	-0.61437	-0.43145	-1.01436	-0.89963	0.64369	-0.73082	-0.67609	-1.84299	-0.80646	0.67297	-0.64936	-0.55306	ac
31	-0.80028	-0.49467	-0.89330	-0.89201	-0.28130	0.74789	1.07562	0.24512	0.83227	-0.17059	-2.16098	-0.90687	0.50771	-0.61799	-1.06584	-1.64190	-0.94592	0.49603	-0.70866	-1.15530	-2.43025	-0.88212	0.50798	-0.61416	-1.16149	ac
32	-0.74116	-0.45301	-1.11958	-1.21551	-1.61806	0.93563	2.35195	0.49820	1.69671	-0.00921	-2.92691	-1.08141	0.62530	-0.65982	-2.31739	-2.56098	-1.14596	0.66163	-0.76817	-2.50187	-3.29299	-1.07408	0.70911	-0.68734	-2.26549	ac
33	-0.27381	0.93315	-0.41545	-0.49733	-0.28831	0.54210	0.80085	0.56282	-0.35883	-0.10606	-2.20268	-0.93480	0.65681	-0.64415	-1.12775	-1.82854	-1.03156	0.68011	-0.75623	-1.26150	-2.49551	-0.93481	0.69598	-0.67162	-1.05627	ac
34	-0.16120	0.89449	-0.71668	-1.11399	-1.47849	0.23854	0.71155	1.84278	0.71962	1.10676	-2.10309	-0.86362	0.48351	-0.54707	-1.35200	-1.64676	-1.02527	0.56442	-0.71169	-1.64194	-2.34649	-0.92112	0.48741	-0.55296	-1.49104	ac
35	-0.47725	-0.41108	-0.61271	-1.29202	-0.86166	0.86330	1.36005	0.71697	0.85671	0.23503	-2.09535	-0.77630	0.68583	-0.63373	-1.15581	-1.72034	-0.86966	0.65229	-0.72548	-1.23297	-2.53605	-0.85739	0.63225	-0.65125	-1.00260	ac
36	-1.08748	0.30870	-1.28452	-1.53711	-1.30478	1.01689	1.50968	1.40637	1.25478	0.42007	-1.92228	-1.00303	0.59984	-0.66127	-1.48009	-1.31316	-1.09691	0.64061	-0.76982	-1.73271	-2.19193	-1.03894	0.68021	-0.68953	-1.56779	ac
37	-1.25604	-1.07144	-0.98609	-0.47954	0.41693	1.09230	1.16317	0.16869	-0.06974	-0.76494	-1.69066	-0.77123	0.75649	-0.61878	-1.03719	-1.33056	-0.87148	0.82307	-0.72563	-1.25232	-1.90486	-0.89648	0.75664	-0.67135	-1.08816	ac
38	-0.74400	-0.57226	-0.50214	-0.81043	-0.29465	0.88730	1.07658	0.43252	0.21930	-0.09927	-1.44945	-0.73476	0.68793	-0.63367	-0.97822	-1.07881	-0.92271	0.70306	-0.75382	-1.25538	-1.79872	-0.92498	0.70311	-0.68194	-1.13473	ac
39	-0.17762	-1.21501	0.54553	1.97604	1.47334	-1.47334	-1.20192	-0.70837	-0.69753	-0.70199	-0.09362	0.13568	0.05378	-0.19261	0.66646	-0.49412	0.34131	-0.04436	-0.07349	0.80568	-0.29520	0.20281	0.05653	-0.16241	0.71068	v/at
40	-1.60215	-1.35446	-1.48675	-0.99185	-0.17749	1.19910	1.42166	1.08533	1.13340	-0.86097	2.29031	-1.03461	0.50185	-0.62293	-1.78465	2.12227	-0.97372	0.48054	-0.69339	-1.08727	2.06858	-0.99602	0.58140	-0.64932	-1.54551	v/at
41	-0.84392	-1.79227	0.96290	2.15857	1.34733	-0.65176	-1.01399	-0.73240	-0.70619	-1.71233	1.22240	0.18391	-0.32883	-0.01880	0.55469	0.74506	0.39965	-0.43895	0.12116	0.80824	0.85620	0.33740	-0.43032	0.09478	0.68432	v/at
42	0.02119	-0.84770	0.42646	1.73183	0.81595	-1.57499	-1.29778	-0.33858	-0.37155	0.05526	0.28863	0.16818	-0.26667	-0.03671	0.58953	0.12448	0.41737	-0.52489	0.12323	0.75607	0.04395	0.23564	-0.25289	-0.01436	0.66447	v/at
43	-0.90797	-0.48020	-1.00540	-0.11359	1.59856	-0.31035	-0.12656	0.29756	-0.16039	-0.52146	1.58513	-0.71619	0.15171	-0.34521	-0.66120	1.19311	-0.46322	0.05435	-0.40280	0.01424	1.13969	-0.60443	0.23232	-0.41526	-0.34087	v/at
44	-1.69973	-2.81553	-0.08307	1.63473	1.85012	0.41995	0.08015	-1.12244	-0.67615	-2.37993	1.46807	-0.54536	0.16291	-0.43065	-0.24353	0.98499	-0.32674	0.25668	-0.44947	0.30374	1.00620	-0.49456	0.31218	-0.47856	-0.04276	v/at
45	-1.46003	-2.34233	0.32980	1.40694	0.82860	0.08818	-0.01892	-0.40147	0.13182	-1.92430	1.07624	-0.35200	-0.18804	-0.22036	-0.20301	1.33786	-0.39287	-0.22556	-0.33512	-0.10625	1.00820	-0.44155	0.00790	-0.34354	-0.29362	v/at
46	-1.73127	-1.66662	-0.63984	0.11279	1.63653	1.37196	0.90563	-0.86141	-0.64800	-2.05360	1.10979	-0.89976	0.52293	-0.63680	-0.87381	1.60413	-0.90666	0.50720	-0.72950	-0.73154	1.30757	-0.90524	0.59076	-0.66100	-0.95073	v/at
47	-0.30841	-0.80371	0.46559	0.93412	0.82543	-0.73162	-0.80103	0.17296	-0.09841	-0.79299	1.16133	0.91015	-1.50683	0.84228	0.67521	0.67443	1.25789	-1.34337	1.04717	0.95258	0.66195	0.84339	-0.99376	0.56268	0.83387	v/at
48	0.32224	-0.30691	0.98422	0.89275	0.10078	-0.79192	-0.72380	-0.08908	-0.24827	-0.09482	0.57292	0.50344	-0.15063	0.06164	0.84441	0.36537	0.19322	0.22918	-0.08826	0.68277	0.77057	0.20423	-0.06982	-0.06832	0.66716	v/at
49	-1.56353	-0.50733	-2.34568	-1.70972	-1.79848	0.56091	1.42876	2.44078	3.86048	-0.35270	2.14424	-0.87384	0.27068	-0.51075	-1.96134	2.25316	0.04555	-0.14672	-0.38040	-1.20819	1.96189	-0.64745	0.30119	-0.50177	-1.13024	hid
50	0.42936	-0.12994	1.29648	0.93095	-0.18671	-1.08599	-0.41480	-0.11784	-0.30246	0.19053	0.25830	0.22064	-0.35036	0.10272	0.65590	-0.60952	0.92985	-0.61426	0.64487	1.02690	-0.35231	0.83240	-0.78147	0.51725	0.97304	v/at
51	-1.60593	-0.26044	-1.94631	-1.43584	-0.15362	0.58032	1.07825	2.15363	1.45570	-0.33865	1.65973	-0.64182	0.20516	-0.47513	-0.79426	0.99081	-0.63728	0.27435	-0.57247	-0.17504	1.20405	-0.69453	0.25922	-0.49382	-0.82247	hid
52	-2.07129	-1.29375	-2.50775	-1.52010	-0.42730	0.87925	1.32405	1.99365	2.90473	-1.01181	1.70681	-0.89516	0.43540	-0.60621	-1.22986	1.84418	-0.21790	-0.06382	-0.43684	-0.57933	1.39126	-0.66434	0.33666	-0.54425	-0.70270	hid
53	-1.07544	-1.52611	0.67616	1.42842	0.99650	0.22043	-0.18488	-1.09852	-0.46176	-1.82593	0.50468	0.21285	0.15955	-0.20704	0.70476	0.14405	0.00158	0.54475	-0.30805	0.57074	0.48564	-0.09298	0.27835	-0.35143	0.47706	v/at
54	-0.64977	-1.47657	1.53052	1.48286	0.70305	0.12533	-0.37419	-0.69628	-0.71240	-1.85169	0.12299	0.80186	-0.34654	0.24977	1.01406	-0.30448	0.63058	0.06072	0.15555	0.95045	-0.09099	0.60719	-0.17070	0.10570	0.93828	v/at
55	-1.80544	-0.75637	-2.27296	-1.41518	-0.49009	0.63318	0.55768	1.81015	3.11048	-0.73912	1.88388	-0.60699	0.15995	-0.42124	-0.86835	2.10967	0.22962	-0.51737	-0.12820	-0.83077	1.83296	-0.36537	-0.04659	-0.31775	-0.76328	hid
56	-1.60753	-0.24619	-1.21279	-0.91019	-0.16459	1.12935	1.64000	1.14887	0.57235	-1.04361	2.19445	-0.91470	0.33508	-0.55087	-1.87025	2.57728	-0.63844	-0.34873	-0.29357	-1.17910	2.20221	-0.72879	0.12913	-0.45522	-1.64750	hid
57	-1.24263	-2.07859	1.07405	1.05526	1.41555	1.01810	-0.01857	-1.61267	-1.10101	-2.01378	-0.20557	-0.34484	0.63541	-0.47006	0.28357	-0.77977	-0.24325	0.62454	-0.46597	0.47338	-0.08001	-0.27172	0.65284	-0.48328	0.38765	v/at
58	-1.12311	-0.13556	-0.53954	-0.91769	-0.29507	1.42706	1.35765	-0.05464	0.08033	-0.40511	0.07417	-0.66687	0.79630	-0.60070	-0.99194	0.11752	-0.90743	0.76324	-0.74105	-1.37795	0.40298	-0.90206	0.73013	-0.67548	-1.20240	ac
59	1.15639	1.90763	0.70871	-0.97114	-1.39228	0.08537	0.73565	-0.04602	-0.44448	1.63354	-0.30388	-0.89736	0.60683	-0.63052	-0.82689	-0.19850	-0.99580	0.62430	-0.74786	-0.92715	0.17012	-0.86416	0.67841	-0.65170	-0.74141	ac
60	-0.17819	0.90082	-0.30818	-0.30006	0.04729	0.26740	0.15287	0.40358	-0.16692	-0.22997	-0.62762	0.09674	-0.18933	0.25733	0.54675	-1.01004	0.77592	-0.59068	0.47381	0.63294	-0.80629	0.61675	-0.43918	0.34129	0.70911	v/at
61	-0.27587	0.02774	-0.42840	0.30307	1.76208	-0.82775	-1.44895	0.05734	-0.28362	-0.17557	-0.19568	0.06975	-0.17775	-0.08438	0.55515	-0.36143	0.41384	-0.40630	0.13646	0.81984	-0.41577	0.13929	-0.08325	-0.10135	0.63878	v/at
62	0.22260	-0.32514	1.00151	1.13679	-0.26519	-0.61850	-0.70686	-0.68415	-0.33370	0.31771	-0.12385	0.54307	-0.42500	0.26121	0.88015	-0.04553	0.28472	-0.33329	0.15320	0.72150	-0.11447	0.48916	-0.41576	0.28333	0.83485	v/at
63	0.31154	0.61279	-0.46276	0.15647	1.64337	-1.42159	-1.95459	0.29401	-0.26153	0.74670	0.74589	-0.03615	0.03583	-0.19353	0.52464	0.36231	0.33765	-0.11750	0.01664	0.81627	0.47266	0.08947	0.16848	-0.20020	0.64368	v/at
64	0.09991	0.55560	-0.72133	-0.42845	0.79175	-0.85498	-1.33187	0.71921	0.56050	0.68990	1.10375	0.05645	-0.45247	0.07854	0.34660	0.96315	0.61291	-0.85128	0.47865	0.70420	0.97526	0.20717	-0.42054	0.09786	0.49045	v/at
65	0.02362	-0.09479	-0.12355	0.37308	1.56096	-0.71075	-1.44765	-0.09894	-0.40233	-0.15993	0.09743	0.27161	-0.38651	0.08815	0.67277	-0.02843	0.66464	-0.77504	0.47896	0.91414	-0.04016	0.33297	-0.34383	0.11059	0.72977	v/at
66	-0.89036	-0.87813	-0.76990	0.08951	1.94859	-0.23545	-0.91453	0.06613	0.02299	-0.87374	-0.07272	-0.20211	-0.02768	-0.26367	0.24174	-0.07122	0.27267	-0.33354	0.01986	0.61564	-0.10149	-0.11980	0.02148	-0.26822	0.32271	v/at
67	-0.12192	-0.13566	1.06227	0.99512	1.04736	-0.81311	-0.77236	-0.89692	-0.72030	-0.47825	-0.55380	0.23417	0.00663	-0.06073	0.70486	-0.79376	0.16697	-0.06074	-0.04293	0.66738	-0.59435	0.32190	-0.15134	0.03133	0.72123	v/at
68	0.43185	0.44272	0.15719	0.85040	0.38618	-1.00384	-1.18598	0.25795	-0.13407	0.01761	0.13416	0.92980	-1.12590	0.72137	0.94729	-0.53210	1.59863	-0.71342	1.20489	1.15627	-0.37040	1.36207	-0.75146	0.76099	1.16786	v/at
69	0.82617	1.23613	-0.04400	-0.95528	-0.36479	0.55113	0.30502	-0.29078	-0.31005	0.68961	0.14656	-0.34298	0.59317	-0.41897	0.14974	0.18443	-0.55314	0.61428	-0.50071	-0.07759	0.51575	-0.46979	0.56767	-0.44337	0.00071	v/at
70	-0.24025	0.08764	-0.51095	0.01707	1.59055	-0.78074	-1.20190	0.28272	-0.18967	-0.00013	0.98689	-0.12186	-0.28307	-0.08049	0.23958	0.52692	0.12494	-0.49156	0.04734	0.60042	0.74930	-0.03391	-0.22010	-0.08295	0.40085	v/at
71	0.65872	0.68577	0.21241	-0.70991	0.69658	0.87065	-0.32823	-1.21793	-0.93212	0.23673	0.24436	-0.30863	0.73180	-0.43241	0.17889	0.13541	-0.57208	0.79951	-0.60225	-0.07581	0.44338	-0.37992	0.75928	-0.48729	0.13257	ac
72	1.18765	0.57201	0.77135	-0.28832	-0.11260	0.66317	-0.36005	-1.43556	-0.81640	0.60388	0.33038	0.02188	0.66012	-0.35166	0.61985	0.25687	-0.20439	0.78647	-0.48437	0.41883	0.46865	-0.06239	0.72426	-0.40086	0.54371	v/at
73	-0.35858	0.07164	-0.68211	-0.20524	1.15802	-0.66500	-1.02458	0.66746	0.09472	0.25705	1.16651	-0.28826	-0.30569	-0.03110	-0.00520	0.74056	0.03316	-0.39105	0.02687	0.54123	0.70973	-0.14891	-0.18423	-0.07801	0.29940	v/at
74	0.37573	0.58041	-0.76229	-0.26092	0.43692	-0.98264	-0.99461	0.64075	0.63461	0.75068	1.26585	0.31067	-0.85530	0.40217	0.47014	1.05856	0.90629	-1.37894	0.89860	0.75271	1.09287	0.45249	-0.77765	0.38864	0.60964	v/at
75	1.37382	1.70682	-0.41029	0.17225	-0.08690	-1.56924	-1.25888	0.62133	0.23668	1.29854	0.66837	1.82167	-2.41703	1.95730	1.12520	0.01892	2.35704	-2.37797	2.61203	1.24853	0.05665	2.18796	-2.25499	2.23034	1.31022	v/at
76	0.79544	1.26558	-0.38960	-0.15937	0.93412	-1.32340	-1.66460	0.37921	-0.15152	1.22042	1.01009	0.29686	-0.54181	0.25874	0.65468	0.46937	0.65947	-0.60600	0.50542	0.94407	0.64302	0.43251	-0.41772	0.31074	0.80005	v/at
77	0.81612	1.13199	-0.35438	-0.08869	0.96024	-1.40606	-1.50045	0.44160	-0.10407	1.00347	0.60279	1.00785	-1.40287	1.03350	0.97517	-0.40782	1.61602	-1.71718	1.72699	1.23042	-0.22213	1.63822	-2.01649	1.72709	1.21775	v/at
78	0.15560	0.34216	-0.62122	-0.42360	0.37220	-0.79248	-0.94338	0.93613	0.63300	0.70571	1.40100	0.02112	-0.63745	0.20827	0.22022	1.12920	0.58257	-1.15129	0.56854	0.65224	1.07325	0.20049	-0.59469	0.20285	0.45627	v/at
79	0.89449	1.50788	-0.52399	-1.16899	-1.76568	0.09328	0.68441	0.94755	0.40037	1.92767	-0.29425	-0.63491	0.71570	-0.59801	-0.56686	-0.09930	-0.90585	0.68217	-0.73896	-0.86478	0.29083	-0.84952	0.69640	-0.65146	-0.74635	ac
80	0.86298	2.65235	-0.23336	-0.92626	-1.81621	-0.47479	0.98312	0.78562	0.39144	1.69520	-0.62337	-0.77422	0.75074	-0.61003	-0.90485	-0.39090	-0.97618	0.73243	-0.74577	-1.26631	0.12999	-0.90107	0.72849	-0.66683	-1.03117	ac
81	0.61463	0.72786	0.67463	-0.54560	-1.05572	-0.11139	0.19879	0.19096	0.07730	1.15718	-0.58064	-0.58707	0.57947	-0.53773	-0.17797	-0.08166	-0.76142	0.56824	-0.66780	-0.33324	-0.14962	-0.69355	0.60259	-0.59142	-0.33593	v/at
82	0.94440	0.52478	-0.22923	0.53811	0.32122	-1.53219	-1.45543	0.41205	0.05624	1.10999	-0.21796	0.65118	-0.35849	0.19536	0.91164	-0.31546	1.28335	-0.97111	0.81367	0.99492	-0.46687	0.91963	-0.53383	0.34282	0.97803	v/at
83	0.42608	-0.60029	1.30057	1.53391	0.22032	-1.08617	-0.93078	-0.63921	-0.62813	-0.01102	-0.48473	0.38208	-0.17748	0.02910	0.82370	-0.43411	0.44015	-0.45439	0.15759	0.84663	-0.48248	0.46000	-0.29439	0.08165	0.82785	v/at
84	1.16863	0.65004	0.29609	0.72681	-0.17064	-1.55342	-1.27592	0.15967	0.11692	1.08527	0.16977	0.97589	-0.85370	0.64678	1.03956	0.14591	1.24278	-1.34719	1.07100	1.05071	0.05804	1.09161	-1.01242	0.74191	1.05397	v/at
85	0.31243	-0.39948	0.73079	1.04540	0.03552	-0.76525	-0.77551	-0.44528	-0.04036	-0.04780	-0.07907	0.50935	-0.52792	0.22477	0.79767	0.06543	0.57574	-0.92173	0.38128	0.79131	-0.01993	0.53366	-0.59222	0.24695	0.78033	v/at
86	1.50073	1.11200	-0.10205	0.74949	0.23818	-1.67758	-1.73139	0.06822	-0.04578	1.14330	0.16413	1.25583	-0.76667	0.85586	1.20000	-0.25047	1.71087	-0.88429	1.30678	1.23382	-0.08837	1.52490	-0.79293	0.94697	1.25008	v/at
87	-0.33293	-1.08173	1.13230	0.99670	0.26393	-0.08758	-0.45322	-0.67481	-0.62093	-0.38333	-0.08701	-0.42988	0.47347	-0.46108	0.08833	0.05067	-0.53716	0.47970	-0.55481	-0.00731	0.40367	-0.44933	0.45788	-0.48886	0.03839	v/at
88	0.32475	0.34386	0.18731	-0.91653	-1.19763	0.13080	0.43741	0.62590	0.59255	1.10384	0.13221	-0.77471	0.65495	-0.60257	-0.61703	0.65997	-0.94057	0.63384	-0.72797	-0.87860	0.77983	-0.86022	0.66772	-0.64503	-0.80752	v/at
89	-0.70817	-1.99378	1.52006	1.79956	1.00072	-0.09165	-0.16439	-1.22102	-0.91519	-1.85614	0.13314	0.03604	0.08699	-0.22900	0.58962	-0.11646	0.05520	0.06416	-0.24455	0.66198	0.01315	0.13432	0.00165	-0.18550	0.62571	v/at
90	0.57714	-0.09478	0.70099	1.23586	0.50790	-0.94326	-0.81937	-0.55981	-0.49207	-0.34895	0.35262	0.59828	-0.25751	0.19858	0.94350	-0.11466	0.82067	-0.14979	0.36848	1.06525	0.02717	0.76224	-0.25610	0.24170	1.01993	v/at
91	-1.64682	-1.76115	-0.51729	0.35014	1.66861	1.83888	0.11296	-0.80516	-0.91567	-2.23512	0.55970	-0.87343	0.55632	-0.62654	-0.73222	0.80225	-0.74127	0.38270	-0.65836	-0.44974	0.70538	-0.78265	0.56149	-0.62637	-0.56115	v/at
92	-0.37905	-1.27809	1.51490	1.68210	0.68323	-0.05029	-0.46523	-1.11618	-0.84604	-1.58661	0.26122	0.30009	-0.06568	-0.05180	0.77930	-0.00346	0.27249	-0.06108	-0.08702	0.79097	0.08511	0.36098	-0.10241	-0.03713	0.79255	v/at
93	-1.24769	-1.11783	-0.56766	-0.27511	0.53694	1.49480	0.86693	-0.56065	-0.22596	-1.14544	-0.43806	-0.79129	0.64488	-0.62059	-0.61302	-0.12853	-0.92318	0.61784	-0.74056	-0.67444	-0.07649	-0.90087	0.67122	-0.66924	-0.81250	v/at
94	-0.54130	-0.51415	-0.21742	-0.24129	0.64592	1.09417	0.62464	-0.63890	-0.53101	-0.96345	-0.24035	-0.86205	0.65676	-0.62125	-0.77216	0.06663	-0.93538	0.67132	-0.73498	-0.68983	0.09961	-0.89496	0.70142	-0.66269	-0.83648	v/at
95	-0.96188	-1.28180	0.56725	1.19779	0.50831	0.15316	0.06775	-0.68772	-0.35710	-1.33803	0.17802	-0.25887	0.10063	-0.36179	0.19455	0.30344	-0.40514	0.07351	-0.46857	0.09235	0.19014	-0.32694	0.13301	-0.38921	0.04064	v/at
